finding_id,org_id,obligation_id,policy_id,severity,finding_type,finding_summary,recommended_fix,owner_team,status,target_date,created_at,ground_truth_compliance_label
FND-000141,ORG-0022,OBL-000655,POL-000223,High,Unmapped Obligation,Unmapped Obligation: Liquidity Risk obligation is needs human review with coverage score 21.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",IT,Resolved,2026-04-02,2025-10-02T08:05:00,Non-Compliant
FND-000142,ORG-0027,OBL-000035,POL-000274,High,Policy Gap,Policy Gap: Cybersecurity obligation is needs human review with coverage score 34.,"Update policy clause, assign owner, and add evidence workflow for: monitor threshold breaches and escalate unresolved cases.",Operations,Open,2026-08-26,2025-09-03T15:47:00,Non-Compliant
FND-000143,ORG-0025,OBL-000068,POL-000259,Medium,Evidence Gap,Evidence Gap: Incident Management obligation is needs human review with coverage score 49.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",Legal,Open,2026-08-29,2026-04-08T09:05:00,Partially Compliant
FND-000144,ORG-0018,OBL-000148,POL-000180,High,Unmapped Obligation,Unmapped Obligation: Data Privacy obligation is partially covered with coverage score 56.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Audit,In Progress,2026-02-23,2026-02-14T15:26:00,Partially Compliant
FND-000145,ORG-0029,OBL-000041,POL-000301,Low,Control Design Gap,Control Design Gap: Liquidity Risk obligation is partially covered with coverage score 56.,"Update policy clause, assign owner, and add evidence workflow for: submit a compliance confirmation report to management.",Risk,In Progress,2026-07-19,2026-03-18T12:19:00,Partially Compliant
FND-000146,ORG-0024,OBL-000119,POL-000245,Medium,Control Operating Gap,Control Operating Gap: Audit & Reporting obligation is partially covered with coverage score 75.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Compliance,Open,2026-02-10,2025-12-27T17:28:00,Partially Compliant
FND-000147,ORG-0022,OBL-000593,POL-000222,Low,Policy Gap,Policy Gap: KYC/AML obligation is fully covered with coverage score 98.,"Update policy clause, assign owner, and add evidence workflow for: monitor threshold breaches and escalate unresolved cases.",Legal,Open,2026-05-02,2025-12-30T16:19:00,Compliant
FND-000148,ORG-0023,OBL-000286,POL-000236,High,Control Operating Gap,Control Operating Gap: Liquidity Risk obligation is needs human review with coverage score 59.,"Update policy clause, assign owner, and add evidence workflow for: perform periodic control testing and document exceptions.",Audit,In Progress,2026-05-30,2025-08-17T17:25:00,Partially Compliant
FND-000149,ORG-0019,OBL-000412,POL-000190,Medium,Review Delay,Review Delay: Capital Adequacy obligation is not covered with coverage score 37.,"Update policy clause, assign owner, and add evidence workflow for: perform periodic control testing and document exceptions.",Compliance,Risk Accepted,2026-01-04,2026-06-06T19:16:00,Non-Compliant
FND-000150,ORG-0007,OBL-000288,POL-000067,High,Policy Gap,Policy Gap: Liquidity Risk obligation is partially covered with coverage score 80.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Data Governance,Open,2026-05-03,2025-12-10T17:27:00,Partially Compliant
FND-000151,ORG-0002,OBL-000419,POL-000015,Medium,Expired Policy,Expired Policy: Audit & Reporting obligation is partially covered with coverage score 47.,"Update policy clause, assign owner, and add evidence workflow for: review customer or transaction risk indicators.",Risk,In Progress,2026-04-06,2026-04-12T17:29:00,Partially Compliant
FND-000152,ORG-0014,OBL-000150,POL-000138,High,Expired Policy,Expired Policy: Liquidity Risk obligation is partially covered with coverage score 71.,"Update policy clause, assign owner, and add evidence workflow for: validate system calculations against approved methodology.",Operations,Resolved,2025-12-25,2026-02-23T14:24:00,Partially Compliant
FND-000153,ORG-0030,OBL-000644,POL-000308,High,Expired Policy,Expired Policy: Data Privacy obligation is partially covered with coverage score 66.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Security,In Progress,2026-03-04,2025-07-11T11:06:00,Partially Compliant
FND-000154,ORG-0017,OBL-000192,POL-000169,High,Expired Policy,Expired Policy: Audit & Reporting obligation is partially covered with coverage score 51.,"Update policy clause, assign owner, and add evidence workflow for: submit a compliance confirmation report to management.",Data Governance,In Progress,2026-08-10,2025-07-08T14:58:00,Partially Compliant
FND-000155,ORG-0007,OBL-000351,POL-000070,Medium,Policy Gap,Policy Gap: KYC/AML obligation is fully covered with coverage score 82.,"Update policy clause, assign owner, and add evidence workflow for: validate system calculations against approved methodology.",Risk,Risk Accepted,2026-04-22,2026-01-08T08:50:00,Compliant
FND-000156,ORG-0027,OBL-000176,POL-000273,Medium,Review Delay,Review Delay: Capital Adequacy obligation is not covered with coverage score 5.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Operations,In Progress,2026-05-17,2025-07-25T18:51:00,Non-Compliant
FND-000157,ORG-0009,OBL-000200,POL-000088,Low,Policy Gap,Policy Gap: Incident Management obligation is partially covered with coverage score 56.,"Update policy clause, assign owner, and add evidence workflow for: review customer or transaction risk indicators.",Audit,Open,2026-02-13,2026-02-24T09:48:00,Partially Compliant
FND-000158,ORG-0011,OBL-000082,POL-000115,High,Control Operating Gap,Control Operating Gap: Trading Risk obligation is partially covered with coverage score 57.,"Update policy clause, assign owner, and add evidence workflow for: perform periodic control testing and document exceptions.",Legal,Open,2026-03-28,2026-01-03T10:57:00,Partially Compliant
FND-000159,ORG-0018,OBL-000264,POL-000180,Medium,Policy Gap,Policy Gap: Data Privacy obligation is needs human review with coverage score 41.,"Update policy clause, assign owner, and add evidence workflow for: update the internal policy and maintain approval evidence.",Trading Desk,Risk Accepted,2026-07-18,2025-09-30T14:21:00,Non-Compliant
FND-000160,ORG-0029,OBL-000608,POL-000302,Medium,Policy Gap,Policy Gap: Cybersecurity obligation is partially covered with coverage score 47.,"Update policy clause, assign owner, and add evidence workflow for: monitor threshold breaches and escalate unresolved cases.",Operations,Open,2026-07-11,2025-08-23T11:21:00,Partially Compliant
FND-000161,ORG-0029,OBL-000639,POL-000295,High,Control Design Gap,Control Design Gap: Disclosure obligation is not covered with coverage score 43.,"Update policy clause, assign owner, and add evidence workflow for: submit a compliance confirmation report to management.",Legal,Resolved,2025-12-03,2025-08-15T18:53:00,Non-Compliant
FND-000162,ORG-0017,OBL-000113,POL-000173,Medium,Unmapped Obligation,Unmapped Obligation: Data Privacy obligation is partially covered with coverage score 47.,"Update policy clause, assign owner, and add evidence workflow for: submit a compliance confirmation report to management.",Legal,In Progress,2025-12-30,2025-07-30T10:20:00,Partially Compliant
FND-000163,ORG-0014,OBL-000753,POL-000145,High,Unmapped Obligation,Unmapped Obligation: Audit & Reporting obligation is partially covered with coverage score 63.,"Update policy clause, assign owner, and add evidence workflow for: monitor threshold breaches and escalate unresolved cases.",Operations,Open,2026-06-23,2026-03-02T19:19:00,Partially Compliant
FND-000164,ORG-0027,OBL-000177,POL-000279,Medium,Review Delay,Review Delay: Capital Adequacy obligation is partially covered with coverage score 49.,"Update policy clause, assign owner, and add evidence workflow for: review customer or transaction risk indicators.",Data Governance,Open,2026-01-27,2025-08-12T13:25:00,Partially Compliant
FND-000165,ORG-0004,OBL-000650,POL-000040,Medium,Control Design Gap,Control Design Gap: KYC/AML obligation is needs human review with coverage score 22.,"Update policy clause, assign owner, and add evidence workflow for: monitor threshold breaches and escalate unresolved cases.",Finance,Open,2026-07-24,2025-12-24T11:43:00,Non-Compliant
FND-000166,ORG-0013,OBL-000258,POL-000125,Medium,Expired Policy,Expired Policy: Outsourcing obligation is partially covered with coverage score 72.,"Update policy clause, assign owner, and add evidence workflow for: update the internal policy and maintain approval evidence.",Operations,Open,2026-04-27,2026-04-18T10:07:00,Partially Compliant
FND-000167,ORG-0010,OBL-000522,POL-000093,Medium,Review Delay,Review Delay: Customer Protection obligation is fully covered with coverage score 91.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Finance,Open,2026-08-24,2026-02-28T09:24:00,Compliant
FND-000168,ORG-0005,OBL-000429,POL-000045,High,Evidence Gap,Evidence Gap: Cybersecurity obligation is partially covered with coverage score 65.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",Compliance,Open,2026-02-06,2025-09-24T09:27:00,Partially Compliant
FND-000169,ORG-0030,OBL-000595,POL-000305,Low,Expired Policy,Expired Policy: Liquidity Risk obligation is fully covered with coverage score 98.,"Update policy clause, assign owner, and add evidence workflow for: review customer or transaction risk indicators.",IT,Open,2025-12-02,2025-08-21T16:09:00,Compliant
FND-000170,ORG-0021,OBL-000644,POL-000205,Low,Unmapped Obligation,Unmapped Obligation: Data Privacy obligation is fully covered with coverage score 94.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Data Governance,Open,2026-04-14,2026-06-13T09:57:00,Compliant
FND-000171,ORG-0026,OBL-000056,POL-000269,Low,Evidence Gap,Evidence Gap: Disclosure obligation is fully covered with coverage score 86.,"Update policy clause, assign owner, and add evidence workflow for: perform periodic control testing and document exceptions.",Risk,In Progress,2026-03-08,2026-06-23T11:18:00,Compliant
FND-000172,ORG-0019,OBL-000747,POL-000187,Low,Unmapped Obligation,Unmapped Obligation: Operational Resilience obligation is partially covered with coverage score 53.,"Update policy clause, assign owner, and add evidence workflow for: perform periodic control testing and document exceptions.",Risk,In Progress,2026-01-07,2026-05-03T12:17:00,Partially Compliant
FND-000173,ORG-0023,OBL-000409,POL-000227,Critical,Unmapped Obligation,Unmapped Obligation: Capital Adequacy obligation is needs human review with coverage score 63.,"Update policy clause, assign owner, and add evidence workflow for: perform periodic control testing and document exceptions.",Data Governance,In Progress,2026-07-31,2026-02-12T19:24:00,Partially Compliant
FND-000174,ORG-0018,OBL-000563,POL-000181,Medium,Control Operating Gap,Control Operating Gap: Cybersecurity obligation is fully covered with coverage score 82.,"Update policy clause, assign owner, and add evidence workflow for: submit a compliance confirmation report to management.",Legal,Open,2026-06-29,2026-02-20T09:06:00,Compliant
FND-000175,ORG-0005,OBL-000390,POL-000050,High,Policy Gap,Policy Gap: Cybersecurity obligation is partially covered with coverage score 49.,"Update policy clause, assign owner, and add evidence workflow for: submit a compliance confirmation report to management.",Operations,Open,2026-06-06,2026-06-22T15:44:00,Partially Compliant
FND-000176,ORG-0011,OBL-000322,POL-000114,Medium,Unmapped Obligation,Unmapped Obligation: Operational Resilience obligation is needs human review with coverage score 60.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",Trading Desk,Open,2026-05-26,2026-05-16T19:11:00,Partially Compliant
FND-000177,ORG-0019,OBL-000336,POL-000190,Medium,Policy Gap,Policy Gap: Customer Protection obligation is partially covered with coverage score 60.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",Compliance,Risk Accepted,2026-03-05,2025-11-30T10:08:00,Partially Compliant
FND-000178,ORG-0003,OBL-000738,POL-000029,Low,Control Operating Gap,Control Operating Gap: Trading Risk obligation is fully covered with coverage score 96.,"Update policy clause, assign owner, and add evidence workflow for: submit a compliance confirmation report to management.",Security,Open,2026-03-22,2026-06-07T19:12:00,Compliant
FND-000179,ORG-0005,OBL-000032,POL-000044,High,Expired Policy,Expired Policy: Data Privacy obligation is partially covered with coverage score 55.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Data Governance,Risk Accepted,2026-07-20,2026-05-20T19:10:00,Partially Compliant
FND-000180,ORG-0022,OBL-000135,POL-000220,Critical,Policy Gap,Policy Gap: Cybersecurity obligation is needs human review with coverage score 66.,"Update policy clause, assign owner, and add evidence workflow for: perform periodic control testing and document exceptions.",Risk,Open,2026-02-21,2026-02-15T08:53:00,Partially Compliant
FND-000181,ORG-0001,OBL-000218,POL-000001,High,Review Delay,Review Delay: Trading Risk obligation is partially covered with coverage score 48.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",Audit,Open,2025-12-29,2026-02-04T15:27:00,Partially Compliant
FND-000182,ORG-0020,OBL-000483,POL-000196,High,Unmapped Obligation,Unmapped Obligation: Audit & Reporting obligation is partially covered with coverage score 66.,"Update policy clause, assign owner, and add evidence workflow for: update the internal policy and maintain approval evidence.",Risk,In Progress,2026-04-05,2025-08-11T08:04:00,Partially Compliant
FND-000183,ORG-0002,OBL-000089,POL-000013,Low,Expired Policy,Expired Policy: Audit & Reporting obligation is not covered with coverage score 42.,"Update policy clause, assign owner, and add evidence workflow for: update the internal policy and maintain approval evidence.",Risk,Open,2026-04-14,2026-01-20T08:03:00,Non-Compliant
FND-000184,ORG-0005,OBL-000393,POL-000045,High,Evidence Gap,Evidence Gap: Cybersecurity obligation is partially covered with coverage score 55.,"Update policy clause, assign owner, and add evidence workflow for: submit a compliance confirmation report to management.",Compliance,Open,2026-05-24,2026-01-18T14:34:00,Partially Compliant
FND-000185,ORG-0015,OBL-000050,POL-000153,Medium,Policy Gap,Policy Gap: Cybersecurity obligation is fully covered with coverage score 85.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",Compliance,Open,2026-06-02,2025-10-19T15:43:00,Compliant
FND-000186,ORG-0016,OBL-000464,POL-000165,High,Evidence Gap,Evidence Gap: Capital Adequacy obligation is partially covered with coverage score 69.,"Update policy clause, assign owner, and add evidence workflow for: monitor threshold breaches and escalate unresolved cases.",Trading Desk,Resolved,2026-08-29,2025-10-29T17:57:00,Partially Compliant
FND-000187,ORG-0007,OBL-000096,POL-000066,Medium,Review Delay,Review Delay: Capital Adequacy obligation is partially covered with coverage score 72.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Compliance,Open,2026-03-20,2025-10-04T12:17:00,Partially Compliant
FND-000188,ORG-0014,OBL-000159,POL-000137,Low,Control Operating Gap,Control Operating Gap: Audit & Reporting obligation is fully covered with coverage score 93.,"Update policy clause, assign owner, and add evidence workflow for: monitor threshold breaches and escalate unresolved cases.",Audit,Resolved,2026-07-12,2026-01-02T15:30:00,Compliant
FND-000189,ORG-0003,OBL-000352,POL-000023,Low,Evidence Gap,Evidence Gap: KYC/AML obligation is fully covered with coverage score 93.,"Update policy clause, assign owner, and add evidence workflow for: submit a compliance confirmation report to management.",Audit,Open,2026-02-23,2026-04-13T17:06:00,Compliant
FND-000190,ORG-0006,OBL-000521,POL-000052,Medium,Evidence Gap,Evidence Gap: Customer Protection obligation is not covered with coverage score 6.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",Risk,Open,2026-05-01,2025-12-26T18:15:00,Non-Compliant
FND-000191,ORG-0027,OBL-000236,POL-000271,Medium,Unmapped Obligation,Unmapped Obligation: Customer Protection obligation is partially covered with coverage score 53.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",Risk,Risk Accepted,2026-06-26,2025-07-21T19:32:00,Partially Compliant
FND-000192,ORG-0025,OBL-000313,POL-000260,Low,Policy Gap,Policy Gap: Audit & Reporting obligation is fully covered with coverage score 89.,"Update policy clause, assign owner, and add evidence workflow for: review customer or transaction risk indicators.",IT,Open,2026-02-22,2025-10-21T18:45:00,Compliant
FND-000193,ORG-0007,OBL-000739,POL-000065,Medium,Control Design Gap,Control Design Gap: Trading Risk obligation is partially covered with coverage score 72.,"Update policy clause, assign owner, and add evidence workflow for: perform periodic control testing and document exceptions.",Audit,Resolved,2026-04-22,2026-02-21T18:50:00,Partially Compliant
FND-000194,ORG-0016,OBL-000059,POL-000163,Medium,Control Design Gap,Control Design Gap: Cybersecurity obligation is not covered with coverage score 27.,"Update policy clause, assign owner, and add evidence workflow for: validate system calculations against approved methodology.",IT,Open,2026-06-21,2026-05-17T19:19:00,Non-Compliant
FND-000195,ORG-0022,OBL-000518,POL-000221,Medium,Control Design Gap,Control Design Gap: Disclosure obligation is not covered with coverage score 16.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",Risk,In Progress,2026-03-01,2025-09-02T18:23:00,Non-Compliant
FND-000196,ORG-0008,OBL-000692,POL-000081,High,Review Delay,Review Delay: KYC/AML obligation is partially covered with coverage score 72.,"Update policy clause, assign owner, and add evidence workflow for: perform periodic control testing and document exceptions.",Risk,Open,2026-06-13,2026-07-06T08:30:00,Partially Compliant
FND-000197,ORG-0014,OBL-000686,POL-000137,Low,Evidence Gap,Evidence Gap: Cybersecurity obligation is partially covered with coverage score 48.,"Update policy clause, assign owner, and add evidence workflow for: monitor threshold breaches and escalate unresolved cases.",Audit,Open,2026-03-30,2026-04-03T10:28:00,Partially Compliant
FND-000198,ORG-0005,OBL-000212,POL-000049,Medium,Control Design Gap,Control Design Gap: Incident Management obligation is not covered with coverage score 17.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Finance,Open,2026-02-06,2025-10-20T19:38:00,Non-Compliant
FND-000199,ORG-0006,OBL-000608,POL-000052,High,Control Design Gap,Control Design Gap: Cybersecurity obligation is fully covered with coverage score 92.,"Update policy clause, assign owner, and add evidence workflow for: monitor threshold breaches and escalate unresolved cases.",Audit,Resolved,2026-03-17,2026-02-15T10:53:00,Compliant
FND-000200,ORG-0001,OBL-000530,POL-000004,Critical,Expired Policy,Expired Policy: Incident Management obligation is not covered with coverage score 14.,"Update policy clause, assign owner, and add evidence workflow for: submit a compliance confirmation report to management.",Finance,Resolved,2026-07-14,2026-05-26T18:13:00,Non-Compliant
FND-000201,ORG-0030,OBL-000218,POL-000314,High,Review Delay,Review Delay: Trading Risk obligation is partially covered with coverage score 70.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",Compliance,Open,2026-03-20,2025-11-11T14:35:00,Partially Compliant
FND-000202,ORG-0005,OBL-000320,POL-000050,Medium,Policy Gap,Policy Gap: Operational Resilience obligation is needs human review with coverage score 21.,"Update policy clause, assign owner, and add evidence workflow for: validate system calculations against approved methodology.",Trading Desk,Open,2026-03-19,2026-04-18T09:52:00,Non-Compliant
FND-000203,ORG-0009,OBL-000246,POL-000090,Medium,Review Delay,Review Delay: Incident Management obligation is fully covered with coverage score 91.,"Update policy clause, assign owner, and add evidence workflow for: validate system calculations against approved methodology.",Operations,In Progress,2026-02-19,2026-03-25T18:36:00,Compliant
FND-000204,ORG-0004,OBL-000309,POL-000034,High,Review Delay,Review Delay: Capital Adequacy obligation is not covered with coverage score 2.,"Update policy clause, assign owner, and add evidence workflow for: update the internal policy and maintain approval evidence.",Operations,Resolved,2026-05-14,2025-07-10T15:15:00,Non-Compliant
FND-000205,ORG-0030,OBL-000672,POL-000314,High,Control Design Gap,Control Design Gap: Incident Management obligation is partially covered with coverage score 69.,"Update policy clause, assign owner, and add evidence workflow for: validate system calculations against approved methodology.",IT,In Progress,2026-05-14,2025-12-24T08:23:00,Partially Compliant
FND-000206,ORG-0002,OBL-000021,POL-000016,Low,Review Delay,Review Delay: Audit & Reporting obligation is needs human review with coverage score 20.,"Update policy clause, assign owner, and add evidence workflow for: perform periodic control testing and document exceptions.",Risk,Open,2026-01-14,2025-11-16T14:08:00,Non-Compliant
FND-000207,ORG-0004,OBL-000413,POL-000035,Medium,Unmapped Obligation,Unmapped Obligation: Operational Resilience obligation is partially covered with coverage score 78.,"Update policy clause, assign owner, and add evidence workflow for: perform periodic control testing and document exceptions.",Finance,Open,2026-07-29,2026-06-30T14:59:00,Partially Compliant
FND-000208,ORG-0012,OBL-000139,POL-000117,Low,Control Operating Gap,Control Operating Gap: KYC/AML obligation is partially covered with coverage score 52.,"Update policy clause, assign owner, and add evidence workflow for: submit a compliance confirmation report to management.",Legal,Open,2026-08-16,2025-09-05T12:17:00,Partially Compliant
FND-000209,ORG-0023,OBL-000228,POL-000227,High,Control Operating Gap,Control Operating Gap: Data Privacy obligation is partially covered with coverage score 59.,"Update policy clause, assign owner, and add evidence workflow for: perform periodic control testing and document exceptions.",Data Governance,Open,2026-04-17,2026-05-03T17:28:00,Partially Compliant
FND-000210,ORG-0002,OBL-000230,POL-000016,High,Policy Gap,Policy Gap: Data Privacy obligation is not covered with coverage score 41.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",Security,Open,2026-03-19,2025-11-05T16:16:00,Non-Compliant
FND-000211,ORG-0024,OBL-000300,POL-000240,Medium,Control Design Gap,Control Design Gap: Operational Resilience obligation is partially covered with coverage score 57.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",Data Governance,Resolved,2026-01-15,2025-09-06T18:09:00,Partially Compliant
FND-000212,ORG-0011,OBL-000366,POL-000106,Low,Review Delay,Review Delay: Operational Resilience obligation is not covered with coverage score 39.,"Update policy clause, assign owner, and add evidence workflow for: validate system calculations against approved methodology.",IT,In Progress,2026-08-15,2025-12-03T16:06:00,Non-Compliant
FND-000213,ORG-0019,OBL-000305,POL-000191,Medium,Evidence Gap,Evidence Gap: Outsourcing obligation is not covered with coverage score 24.,"Update policy clause, assign owner, and add evidence workflow for: review customer or transaction risk indicators.",Compliance,Risk Accepted,2026-04-05,2025-08-01T16:36:00,Non-Compliant
FND-000214,ORG-0015,OBL-000681,POL-000150,High,Policy Gap,Policy Gap: Disclosure obligation is partially covered with coverage score 81.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Audit,Resolved,2026-03-05,2025-09-19T19:02:00,Partially Compliant
FND-000215,ORG-0016,OBL-000694,POL-000163,Low,Control Design Gap,Control Design Gap: Cybersecurity obligation is not covered with coverage score 42.,"Update policy clause, assign owner, and add evidence workflow for: update the internal policy and maintain approval evidence.",Risk,Resolved,2026-07-07,2026-01-28T17:28:00,Non-Compliant
FND-000216,ORG-0019,OBL-000204,POL-000193,Low,Expired Policy,Expired Policy: Liquidity Risk obligation is needs human review with coverage score 35.,"Update policy clause, assign owner, and add evidence workflow for: review customer or transaction risk indicators.",Finance,Resolved,2026-03-14,2026-06-25T16:10:00,Non-Compliant
FND-000217,ORG-0011,OBL-000576,POL-000105,Medium,Control Operating Gap,Control Operating Gap: Capital Adequacy obligation is partially covered with coverage score 58.,"Update policy clause, assign owner, and add evidence workflow for: review customer or transaction risk indicators.",Trading Desk,Open,2025-12-10,2026-06-10T08:38:00,Partially Compliant
FND-000218,ORG-0013,OBL-000379,POL-000126,Critical,Unmapped Obligation,Unmapped Obligation: Cybersecurity obligation is partially covered with coverage score 68.,"Update policy clause, assign owner, and add evidence workflow for: monitor threshold breaches and escalate unresolved cases.",Trading Desk,In Progress,2026-05-17,2026-06-22T12:37:00,Partially Compliant
FND-000219,ORG-0028,OBL-000702,POL-000289,High,Evidence Gap,Evidence Gap: Data Privacy obligation is partially covered with coverage score 76.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Data Governance,In Progress,2026-05-29,2026-05-02T08:46:00,Partially Compliant
FND-000220,ORG-0007,OBL-000627,POL-000069,Low,Control Design Gap,Control Design Gap: Data Privacy obligation is partially covered with coverage score 55.,"Update policy clause, assign owner, and add evidence workflow for: monitor threshold breaches and escalate unresolved cases.",Data Governance,Risk Accepted,2025-12-27,2025-09-02T10:21:00,Partially Compliant
FND-000221,ORG-0028,OBL-000241,POL-000288,High,Evidence Gap,Evidence Gap: Trading Risk obligation is partially covered with coverage score 69.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",Finance,Resolved,2026-06-18,2026-02-08T17:14:00,Partially Compliant
FND-000222,ORG-0030,OBL-000680,POL-000311,Medium,Control Operating Gap,Control Operating Gap: Disclosure obligation is not covered with coverage score 11.,"Update policy clause, assign owner, and add evidence workflow for: perform periodic control testing and document exceptions.",Trading Desk,In Progress,2026-07-11,2025-12-03T12:01:00,Non-Compliant
FND-000223,ORG-0003,OBL-000719,POL-000027,Low,Review Delay,Review Delay: Cybersecurity obligation is needs human review with coverage score 57.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Legal,Open,2026-01-07,2026-05-17T19:16:00,Partially Compliant
FND-000224,ORG-0010,OBL-000664,POL-000102,High,Control Design Gap,Control Design Gap: Data Privacy obligation is needs human review with coverage score 39.,"Update policy clause, assign owner, and add evidence workflow for: update the internal policy and maintain approval evidence.",Trading Desk,Open,2026-05-27,2026-01-11T13:14:00,Non-Compliant
FND-000225,ORG-0011,OBL-000130,POL-000104,Critical,Unmapped Obligation,Unmapped Obligation: Capital Adequacy obligation is needs human review with coverage score 63.,"Update policy clause, assign owner, and add evidence workflow for: review customer or transaction risk indicators.",IT,Resolved,2026-05-30,2025-12-13T08:09:00,Partially Compliant
FND-000226,ORG-0030,OBL-000596,POL-000305,Low,Control Design Gap,Control Design Gap: Liquidity Risk obligation is fully covered with coverage score 91.,"Update policy clause, assign owner, and add evidence workflow for: validate system calculations against approved methodology.",Compliance,Open,2026-08-25,2025-10-18T19:25:00,Compliant
FND-000227,ORG-0001,OBL-000266,POL-000004,Low,Expired Policy,Expired Policy: Operational Resilience obligation is fully covered with coverage score 90.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Audit,In Progress,2026-02-15,2026-04-02T18:35:00,Compliant
FND-000228,ORG-0023,OBL-000739,POL-000231,High,Unmapped Obligation,Unmapped Obligation: Trading Risk obligation is needs human review with coverage score 60.,"Update policy clause, assign owner, and add evidence workflow for: perform periodic control testing and document exceptions.",Finance,Resolved,2026-08-16,2026-04-26T16:00:00,Partially Compliant
FND-000229,ORG-0023,OBL-000421,POL-000231,High,Expired Policy,Expired Policy: Audit & Reporting obligation is not covered with coverage score 34.,"Update policy clause, assign owner, and add evidence workflow for: review customer or transaction risk indicators.",Legal,In Progress,2026-04-25,2025-12-10T19:12:00,Non-Compliant
FND-000230,ORG-0006,OBL-000610,POL-000053,Medium,Control Operating Gap,Control Operating Gap: Cybersecurity obligation is not covered with coverage score 44.,"Update policy clause, assign owner, and add evidence workflow for: perform periodic control testing and document exceptions.",Risk,Risk Accepted,2026-01-18,2026-02-10T11:41:00,Non-Compliant
FND-000231,ORG-0020,OBL-000408,POL-000194,Medium,Control Operating Gap,Control Operating Gap: Cybersecurity obligation is partially covered with coverage score 68.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Legal,In Progress,2026-04-13,2026-06-30T10:57:00,Partially Compliant
FND-000232,ORG-0014,OBL-000609,POL-000145,Low,Expired Policy,Expired Policy: Cybersecurity obligation is partially covered with coverage score 60.,"Update policy clause, assign owner, and add evidence workflow for: submit a compliance confirmation report to management.",Data Governance,Open,2026-04-30,2025-07-06T15:36:00,Partially Compliant
FND-000233,ORG-0012,OBL-000055,POL-000120,Medium,Control Operating Gap,Control Operating Gap: Disclosure obligation is partially covered with coverage score 70.,"Update policy clause, assign owner, and add evidence workflow for: update the internal policy and maintain approval evidence.",Trading Desk,Resolved,2026-08-20,2025-08-15T08:59:00,Partially Compliant
FND-000234,ORG-0025,OBL-000445,POL-000256,High,Unmapped Obligation,Unmapped Obligation: Cybersecurity obligation is needs human review with coverage score 30.,"Update policy clause, assign owner, and add evidence workflow for: validate system calculations against approved methodology.",Data Governance,Resolved,2026-02-26,2025-12-02T16:48:00,Non-Compliant
FND-000235,ORG-0008,OBL-000112,POL-000081,Medium,Control Design Gap,Control Design Gap: Capital Adequacy obligation is needs human review with coverage score 30.,"Update policy clause, assign owner, and add evidence workflow for: perform periodic control testing and document exceptions.",Compliance,Open,2026-05-07,2026-03-16T09:16:00,Non-Compliant
FND-000236,ORG-0003,OBL-000086,POL-000025,Medium,Expired Policy,Expired Policy: Audit & Reporting obligation is not covered with coverage score 24.,"Update policy clause, assign owner, and add evidence workflow for: update the internal policy and maintain approval evidence.",IT,In Progress,2026-05-28,2025-08-12T13:44:00,Non-Compliant
