control_id,org_id,control_name,control_description,control_owner_team,control_owner_role,control_frequency,automation_level,linked_policy_id,linked_obligation_id,control_effectiveness_score,last_tested_at,test_result
CTL-000295,ORG-0017,Liquidity Risk Approval Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Policy document.,Audit,Risk Manager,Daily,Semi-automated,POL-000176,OBL-000586,79,2025-03-25,Pass
CTL-000296,ORG-0027,Trading Risk Escalation Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Training log.,Compliance,Data Protection Officer,Weekly,Manual,POL-000276,OBL-000467,73,2025-01-22,Pass with Exceptions
CTL-000297,ORG-0001,Data Privacy Review Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Data retention proof.,Risk,Data Protection Officer,Half-yearly,Semi-automated,POL-000010,OBL-000644,32,2025-12-01,Fail
CTL-000298,ORG-0027,Disclosure Review Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for System report.,Operations,Auditor,Quarterly,Semi-automated,POL-000279,OBL-000516,100,2026-01-05,Pass
CTL-000299,ORG-0011,Customer Protection Approval Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for Data retention proof.,Audit,Security Officer,Half-yearly,Automated,POL-000107,OBL-000023,13,2026-02-13,Fail
CTL-000300,ORG-0026,Customer Protection Review Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for Training log.,Security,Risk Manager,Monthly,Manual,POL-000269,OBL-000045,93,2026-05-18,Pass
CTL-000301,ORG-0023,Trading Risk Escalation Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for Training log.,Security,Policy Owner,Annual,Manual,POL-000237,OBL-000540,70,2024-11-27,Pass with Exceptions
CTL-000302,ORG-0017,Operational Resilience Attestation Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Audit sample.,Data Governance,Compliance Officer,Daily,Semi-automated,POL-000171,OBL-000744,53,2025-07-09,Pass with Exceptions
CTL-000303,ORG-0023,Liquidity Risk Escalation Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for System report.,Trading Desk,ML Reviewer,Quarterly,Semi-automated,POL-000231,OBL-000533,73,2026-06-10,Pass with Exceptions
CTL-000304,ORG-0018,Trading Risk Escalation Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for System report.,Compliance,Legal Reviewer,Monthly,Automated,POL-000184,OBL-000238,82,2026-05-22,Pass
CTL-000305,ORG-0014,Cybersecurity Attestation Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Data retention proof.,Finance,Data Protection Officer,Monthly,Manual,POL-000142,OBL-000406,82,2025-04-20,Pass
CTL-000306,ORG-0028,Data Privacy Review Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for Policy document.,Trading Desk,Data Protection Officer,Event-based,Semi-automated,POL-000282,OBL-000263,80,2026-04-14,Pass
CTL-000307,ORG-0006,Audit & Reporting Monitoring Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for Policy document.,Data Governance,Risk Manager,Weekly,Manual,POL-000053,OBL-000751,60,2026-01-21,Pass with Exceptions
CTL-000308,ORG-0007,Incident Management Escalation Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Incident record.,Trading Desk,Security Officer,Weekly,Automated,POL-000070,OBL-000425,44,2025-08-20,Fail
CTL-000309,ORG-0016,Trading Risk Approval Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Data retention proof.,Data Governance,Policy Owner,One-time,Manual,POL-000163,OBL-000076,100,2026-02-22,Pass
CTL-000310,ORG-0024,Disclosure Review Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Audit sample.,Compliance,Risk Manager,Daily,Semi-automated,POL-000238,OBL-000682,77,2024-11-19,Pass
CTL-000311,ORG-0008,Data Privacy Approval Control,Control validates that submit a compliance confirmation report to management is performed and evidence is retained for Incident record.,Operations,Policy Owner,Weekly,Semi-automated,POL-000083,OBL-000645,85,2025-07-13,Pass
CTL-000312,ORG-0007,Audit & Reporting Reconciliation Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Board minutes.,Trading Desk,Policy Owner,One-time,Semi-automated,POL-000069,OBL-000021,86,2026-01-10,Pass
CTL-000313,ORG-0023,KYC/AML Escalation Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for Training log.,Risk,Security Officer,One-time,Semi-automated,POL-000236,OBL-000168,87,2025-04-05,Pass
CTL-000314,ORG-0007,Capital Adequacy Approval Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Training log.,Trading Desk,Operations Lead,Half-yearly,Manual,POL-000066,OBL-000096,77,2024-11-15,Pass
CTL-000315,ORG-0024,Operational Resilience Approval Control,Control validates that review customer or transaction risk indicators is performed and evidence is retained for Data retention proof.,Compliance,Risk Manager,One-time,Manual,POL-000238,OBL-000268,72,2025-02-21,Pass with Exceptions
CTL-000316,ORG-0001,KYC/AML Escalation Control,Control validates that review customer or transaction risk indicators is performed and evidence is retained for System report.,Compliance,ML Reviewer,Event-based,Semi-automated,POL-000004,OBL-000633,20,2025-03-07,Fail
CTL-000317,ORG-0005,Customer Protection Reconciliation Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for Incident record.,Audit,Policy Owner,Quarterly,Manual,POL-000045,OBL-000649,89,2024-12-14,Pass
CTL-000318,ORG-0023,Liquidity Risk Monitoring Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for System report.,Risk,Security Officer,Quarterly,Manual,POL-000226,OBL-000531,81,2026-02-01,Pass
CTL-000319,ORG-0009,KYC/AML Monitoring Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for Training log.,Security,Auditor,Annual,Semi-automated,POL-000091,OBL-000371,68,2025-04-02,Pass with Exceptions
CTL-000320,ORG-0007,Trading Risk Monitoring Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Policy document.,Risk,Compliance Officer,Annual,Semi-automated,POL-000065,OBL-000739,90,2025-05-09,Pass
CTL-000321,ORG-0011,Capital Adequacy Escalation Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for System report.,Data Governance,Policy Owner,Quarterly,Automated,POL-000106,OBL-000575,36,2025-08-04,Fail
CTL-000322,ORG-0016,Capital Adequacy Reconciliation Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for Access review.,Operations,Operations Lead,Event-based,Automated,POL-000160,OBL-000002,94,2026-06-07,Pass
CTL-000323,ORG-0009,Outsourcing Reconciliation Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for Access review.,Trading Desk,Admin,Annual,Manual,POL-000085,OBL-000307,75,2026-05-23,Pass
CTL-000324,ORG-0027,Liquidity Risk Attestation Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for Data retention proof.,Finance,Risk Manager,Monthly,Automated,POL-000272,OBL-000657,74,2025-12-06,Pass with Exceptions
CTL-000325,ORG-0019,Customer Protection Review Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for Access review.,Operations,Security Officer,Weekly,Automated,POL-000190,OBL-000336,59,2026-01-06,Pass with Exceptions
CTL-000326,ORG-0023,Liquidity Risk Attestation Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for Training log.,Risk,Data Protection Officer,Daily,Semi-automated,POL-000226,OBL-000532,100,2025-09-04,Pass
CTL-000327,ORG-0023,Customer Protection Monitoring Control,Control validates that submit a compliance confirmation report to management is performed and evidence is retained for Policy document.,Trading Desk,Auditor,Annual,Automated,POL-000230,OBL-000208,39,2025-07-14,Fail
CTL-000328,ORG-0015,Liquidity Risk Approval Control,Control validates that review customer or transaction risk indicators is performed and evidence is retained for System report.,Compliance,Legal Reviewer,One-time,Manual,POL-000149,OBL-000595,97,2024-11-15,Pass
CTL-000329,ORG-0018,Cybersecurity Review Control,Control validates that submit a compliance confirmation report to management is performed and evidence is retained for Transaction report.,Data Governance,Security Officer,One-time,Semi-automated,POL-000181,OBL-000563,91,2026-06-13,Pass
CTL-000330,ORG-0028,Audit & Reporting Review Control,Control validates that review customer or transaction risk indicators is performed and evidence is retained for Policy document.,Audit,Compliance Officer,Half-yearly,Semi-automated,POL-000283,OBL-000725,96,2025-08-17,Pass
CTL-000331,ORG-0013,Cybersecurity Escalation Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for Vendor attestation.,Operations,Operations Lead,Half-yearly,Semi-automated,POL-000130,OBL-000430,37,2025-02-06,Fail
CTL-000332,ORG-0018,Operational Resilience Escalation Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for System report.,Data Governance,Risk Manager,Monthly,Semi-automated,POL-000181,OBL-000512,62,2025-08-29,Pass with Exceptions
CTL-000333,ORG-0021,Cybersecurity Attestation Control,Control validates that review customer or transaction risk indicators is performed and evidence is retained for Training log.,Operations,Security Officer,Half-yearly,Automated,POL-000207,OBL-000049,78,2025-04-19,Pass
CTL-000334,ORG-0018,Trading Risk Review Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Incident record.,IT,Admin,Monthly,Manual,POL-000179,OBL-000734,67,2025-02-02,Pass with Exceptions
CTL-000335,ORG-0022,Cybersecurity Approval Control,Control validates that review customer or transaction risk indicators is performed and evidence is retained for Risk assessment.,Risk,Compliance Officer,One-time,Semi-automated,POL-000219,OBL-000107,82,2024-11-14,Pass
CTL-000336,ORG-0022,Audit & Reporting Attestation Control,Control validates that review customer or transaction risk indicators is performed and evidence is retained for Audit sample.,Compliance,Admin,One-time,Automated,POL-000223,OBL-000313,64,2025-12-26,Pass with Exceptions
CTL-000337,ORG-0001,Operational Resilience Escalation Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Policy document.,IT,Auditor,Weekly,Manual,POL-000012,OBL-000267,79,2025-04-11,Pass
CTL-000338,ORG-0027,Operational Resilience Approval Control,Control validates that review customer or transaction risk indicators is performed and evidence is retained for Policy document.,Legal,Policy Owner,Event-based,Semi-automated,POL-000273,OBL-000269,71,2025-04-11,Pass with Exceptions
CTL-000339,ORG-0012,Capital Adequacy Escalation Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Training log.,Compliance,ML Reviewer,Quarterly,Automated,POL-000122,OBL-000463,90,2025-09-24,Pass
CTL-000340,ORG-0014,KYC/AML Attestation Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Data retention proof.,Compliance,Auditor,Half-yearly,Automated,POL-000144,OBL-000684,99,2026-01-25,Pass
CTL-000341,ORG-0009,Liquidity Risk Monitoring Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for Incident record.,Legal,Operations Lead,One-time,Automated,POL-000087,OBL-000587,62,2024-12-24,Pass with Exceptions
CTL-000342,ORG-0021,Liquidity Risk Reconciliation Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Data retention proof.,Trading Desk,Security Officer,Quarterly,Manual,POL-000206,OBL-000283,97,2025-10-10,Pass
CTL-000343,ORG-0012,Audit & Reporting Attestation Control,Control validates that review customer or transaction risk indicators is performed and evidence is retained for Data retention proof.,Data Governance,Operations Lead,One-time,Manual,POL-000119,OBL-000551,79,2025-02-13,Pass
CTL-000344,ORG-0012,Capital Adequacy Review Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Risk assessment.,IT,Operations Lead,Event-based,Semi-automated,POL-000120,OBL-000462,83,2025-09-24,Pass
CTL-000345,ORG-0029,Outsourcing Attestation Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Training log.,Legal,Security Officer,Annual,Automated,POL-000300,OBL-000319,19,2026-02-13,Fail
CTL-000346,ORG-0021,Capital Adequacy Escalation Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Board minutes.,Security,ML Reviewer,One-time,Semi-automated,POL-000209,OBL-000112,62,2025-04-26,Pass with Exceptions
CTL-000347,ORG-0027,Liquidity Risk Review Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Board minutes.,Security,Auditor,Daily,Manual,POL-000277,OBL-000655,100,2026-01-25,Pass
CTL-000348,ORG-0006,Customer Protection Attestation Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Data retention proof.,IT,Admin,Quarterly,Manual,POL-000062,OBL-000522,97,2025-06-27,Pass
CTL-000349,ORG-0003,Capital Adequacy Approval Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Vendor attestation.,Trading Desk,Operations Lead,One-time,Automated,POL-000029,OBL-000451,32,2026-04-26,Fail
CTL-000350,ORG-0010,Cybersecurity Review Control,Control validates that submit a compliance confirmation report to management is performed and evidence is retained for Audit sample.,Security,Admin,Daily,Semi-automated,POL-000103,OBL-000685,41,2026-05-06,Fail
CTL-000351,ORG-0016,Liquidity Risk Review Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Access review.,Data Governance,Legal Reviewer,Event-based,Automated,POL-000166,OBL-000668,100,2025-03-10,Pass
CTL-000352,ORG-0008,Audit & Reporting Attestation Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for Training log.,Trading Desk,Auditor,Annual,Semi-automated,POL-000075,OBL-000118,93,2025-09-28,Pass
CTL-000353,ORG-0004,Data Privacy Escalation Control,Control validates that submit a compliance confirmation report to management is performed and evidence is retained for Data retention proof.,IT,Operations Lead,Weekly,Semi-automated,POL-000040,OBL-000667,100,2025-04-30,Pass
CTL-000354,ORG-0021,Outsourcing Approval Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Transaction report.,IT,Operations Lead,One-time,Semi-automated,POL-000210,OBL-000486,78,2026-01-23,Pass
CTL-000355,ORG-0025,Customer Protection Reconciliation Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Transaction report.,Compliance,Data Protection Officer,Monthly,Semi-automated,POL-000252,OBL-000417,100,2025-01-25,Pass
CTL-000356,ORG-0015,Operational Resilience Escalation Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for Policy document.,Compliance,Auditor,Quarterly,Semi-automated,POL-000149,OBL-000302,88,2026-06-25,Pass
CTL-000357,ORG-0014,Liquidity Risk Monitoring Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for System report.,Operations,Compliance Officer,Half-yearly,Semi-automated,POL-000137,OBL-000040,100,2025-10-01,Pass
CTL-000358,ORG-0007,Customer Protection Reconciliation Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for Incident record.,Data Governance,Policy Owner,Weekly,Semi-automated,POL-000068,OBL-000441,96,2025-07-10,Pass
CTL-000359,ORG-0022,Data Privacy Escalation Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for System report.,IT,Risk Manager,Monthly,Manual,POL-000221,OBL-000248,98,2025-11-29,Pass
CTL-000360,ORG-0022,Data Privacy Attestation Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Board minutes.,Data Governance,Admin,Half-yearly,Automated,POL-000218,OBL-000571,21,2025-10-27,Fail
CTL-000361,ORG-0012,Outsourcing Attestation Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Incident record.,Compliance,Data Protection Officer,Event-based,Automated,POL-000122,OBL-000375,97,2024-12-05,Pass
CTL-000362,ORG-0020,Data Privacy Approval Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for Data retention proof.,Audit,Policy Owner,Quarterly,Manual,POL-000202,OBL-000664,53,2025-05-25,Pass with Exceptions
CTL-000363,ORG-0012,Capital Adequacy Reconciliation Control,Control validates that review customer or transaction risk indicators is performed and evidence is retained for Incident record.,IT,ML Reviewer,Weekly,Semi-automated,POL-000120,OBL-000461,89,2025-11-15,Pass
CTL-000364,ORG-0030,Capital Adequacy Review Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Policy document.,Data Governance,ML Reviewer,Event-based,Manual,POL-000311,OBL-000123,34,2026-02-08,Fail
CTL-000365,ORG-0003,Audit & Reporting Escalation Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Training log.,Security,Risk Manager,Daily,Manual,POL-000030,OBL-000342,49,2026-03-30,Fail
CTL-000366,ORG-0013,KYC/AML Attestation Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for Access review.,Audit,Admin,Quarterly,Semi-automated,POL-000125,OBL-000331,79,2024-11-03,Pass
CTL-000367,ORG-0028,Data Privacy Approval Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for Incident record.,Legal,Security Officer,One-time,Automated,POL-000287,OBL-000145,100,2025-02-23,Pass
CTL-000368,ORG-0017,Disclosure Escalation Control,Control validates that review customer or transaction risk indicators is performed and evidence is retained for Data retention proof.,IT,Admin,Annual,Semi-automated,POL-000174,OBL-000500,52,2026-03-01,Pass with Exceptions
CTL-000369,ORG-0007,Cybersecurity Reconciliation Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Risk assessment.,Security,Risk Manager,Daily,Semi-automated,POL-000072,OBL-000081,70,2025-09-28,Pass with Exceptions
CTL-000370,ORG-0019,Trading Risk Review Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for Incident record.,Risk,Auditor,Annual,Manual,POL-000192,OBL-000072,99,2026-03-08,Pass
CTL-000371,ORG-0019,Capital Adequacy Attestation Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Policy document.,Operations,Operations Lead,Weekly,Automated,POL-000190,OBL-000582,100,2025-03-25,Pass
CTL-000372,ORG-0014,Cybersecurity Approval Control,Control validates that review customer or transaction risk indicators is performed and evidence is retained for Incident record.,Risk,ML Reviewer,Half-yearly,Automated,POL-000143,OBL-000688,100,2026-04-04,Pass
CTL-000373,ORG-0005,Data Privacy Attestation Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for Vendor attestation.,Audit,Risk Manager,Monthly,Semi-automated,POL-000045,OBL-000033,100,2025-07-18,Pass
CTL-000374,ORG-0005,Trading Risk Attestation Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Data retention proof.,Trading Desk,Data Protection Officer,Annual,Semi-automated,POL-000051,OBL-000357,63,2025-07-02,Pass with Exceptions
CTL-000375,ORG-0022,Capital Adequacy Escalation Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Audit sample.,Finance,Admin,Annual,Manual,POL-000222,OBL-000178,69,2024-10-31,Pass with Exceptions
CTL-000376,ORG-0018,Operational Resilience Monitoring Control,Control validates that submit a compliance confirmation report to management is performed and evidence is retained for Transaction report.,Security,Data Protection Officer,Half-yearly,Semi-automated,POL-000182,OBL-000515,92,2026-06-15,Pass
CTL-000377,ORG-0030,Liquidity Risk Approval Control,Control validates that review customer or transaction risk indicators is performed and evidence is retained for System report.,IT,Operations Lead,One-time,Semi-automated,POL-000305,OBL-000595,100,2025-07-12,Pass
CTL-000378,ORG-0024,Capital Adequacy Approval Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Training log.,Trading Desk,Risk Manager,Event-based,Automated,POL-000246,OBL-000124,72,2024-12-10,Pass with Exceptions
CTL-000379,ORG-0009,Cybersecurity Reconciliation Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for System report.,Trading Desk,Admin,Monthly,Automated,POL-000092,OBL-000625,100,2025-04-19,Pass
CTL-000380,ORG-0012,KYC/AML Monitoring Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for Training log.,Data Governance,Security Officer,Daily,Semi-automated,POL-000119,OBL-000137,74,2025-10-13,Pass with Exceptions
CTL-000381,ORG-0029,Liquidity Risk Escalation Control,Control validates that submit a compliance confirmation report to management is performed and evidence is retained for Board minutes.,Security,Auditor,Daily,Manual,POL-000298,OBL-000152,10,2026-02-01,Fail
CTL-000382,ORG-0028,Disclosure Attestation Control,Control validates that review customer or transaction risk indicators is performed and evidence is retained for System report.,Audit,Risk Manager,One-time,Semi-automated,POL-000283,OBL-000700,100,2024-11-27,Pass
CTL-000383,ORG-0014,Audit & Reporting Monitoring Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Data retention proof.,Data Governance,Operations Lead,Half-yearly,Semi-automated,POL-000145,OBL-000753,64,2026-04-07,Pass with Exceptions
CTL-000384,ORG-0003,Trading Risk Attestation Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for Training log.,Trading Desk,ML Reviewer,Annual,Semi-automated,POL-000021,OBL-000540,43,2026-05-31,Fail
CTL-000385,ORG-0016,Capital Adequacy Reconciliation Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for Incident record.,Legal,Admin,Daily,Semi-automated,POL-000167,OBL-000591,78,2026-06-05,Pass
CTL-000386,ORG-0026,Capital Adequacy Approval Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Data retention proof.,Operations,ML Reviewer,Monthly,Automated,POL-000263,OBL-000464,35,2026-01-31,Fail
CTL-000387,ORG-0014,Audit & Reporting Monitoring Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Training log.,Security,Data Protection Officer,Quarterly,Semi-automated,POL-000138,OBL-000752,100,2026-05-15,Pass
CTL-000388,ORG-0005,Incident Management Reconciliation Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for System report.,Audit,Data Protection Officer,One-time,Semi-automated,POL-000046,OBL-000279,85,2025-06-07,Pass
CTL-000389,ORG-0017,Liquidity Risk Escalation Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for Incident record.,Operations,Compliance Officer,Half-yearly,Semi-automated,POL-000169,OBL-000588,100,2025-05-30,Pass
CTL-000390,ORG-0025,Disclosure Reconciliation Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for System report.,Compliance,Risk Manager,Quarterly,Automated,POL-000256,OBL-000516,77,2026-02-16,Pass
CTL-000391,ORG-0024,Liquidity Risk Reconciliation Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for Incident record.,Compliance,Risk Manager,Daily,Automated,POL-000240,OBL-000280,78,2025-05-12,Pass
CTL-000392,ORG-0026,Capital Adequacy Escalation Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for Access review.,Finance,Compliance Officer,Event-based,Semi-automated,POL-000267,OBL-000002,89,2024-10-29,Pass
CTL-000393,ORG-0025,Capital Adequacy Attestation Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for System report.,Data Governance,ML Reviewer,One-time,Manual,POL-000257,OBL-000179,67,2026-06-16,Pass with Exceptions
CTL-000394,ORG-0002,Audit & Reporting Monitoring Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Board minutes.,Data Governance,Auditor,One-time,Manual,POL-000016,OBL-000021,15,2026-03-24,Fail
CTL-000395,ORG-0008,Trading Risk Approval Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for Policy document.,Operations,Compliance Officer,One-time,Manual,POL-000080,OBL-000219,89,2025-05-08,Pass
CTL-000396,ORG-0015,Audit & Reporting Attestation Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Risk assessment.,IT,Admin,Weekly,Semi-automated,POL-000156,OBL-000659,95,2025-03-09,Pass
CTL-000397,ORG-0022,Outsourcing Approval Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for Audit sample.,Compliance,Compliance Officer,Annual,Semi-automated,POL-000217,OBL-000709,40,2025-06-13,Fail
CTL-000398,ORG-0029,Disclosure Monitoring Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Incident record.,Compliance,Security Officer,Daily,Semi-automated,POL-000302,OBL-000640,47,2025-04-07,Fail
CTL-000399,ORG-0003,Audit & Reporting Monitoring Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for Incident record.,Finance,Operations Lead,One-time,Semi-automated,POL-000032,OBL-000344,100,2025-09-30,Pass
CTL-000400,ORG-0005,Trading Risk Approval Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Policy document.,Audit,Admin,Daily,Semi-automated,POL-000046,OBL-000083,84,2025-07-22,Pass
CTL-000401,ORG-0017,Customer Protection Monitoring Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for Access review.,IT,Policy Owner,Weekly,Automated,POL-000174,OBL-000336,78,2025-07-05,Pass
CTL-000402,ORG-0008,Customer Protection Reconciliation Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for Incident record.,Risk,Data Protection Officer,Monthly,Manual,POL-000084,OBL-000539,93,2026-01-04,Pass
CTL-000403,ORG-0002,Trading Risk Review Control,Control validates that submit a compliance confirmation report to management is performed and evidence is retained for System report.,Audit,Admin,Annual,Manual,POL-000017,OBL-000543,85,2025-10-27,Pass
CTL-000404,ORG-0004,KYC/AML Approval Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Vendor attestation.,IT,Operations Lead,Half-yearly,Semi-automated,POL-000040,OBL-000650,27,2024-12-08,Fail
CTL-000405,ORG-0014,Customer Protection Review Control,Control validates that submit a compliance confirmation report to management is performed and evidence is retained for Incident record.,Legal,Compliance Officer,Daily,Semi-automated,POL-000141,OBL-000337,20,2026-02-20,Fail
CTL-000406,ORG-0021,Capital Adequacy Review Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Data retention proof.,Security,Auditor,Monthly,Semi-automated,POL-000204,OBL-000111,90,2025-09-08,Pass
CTL-000407,ORG-0007,Audit & Reporting Approval Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Training log.,IT,Admin,Quarterly,Manual,POL-000067,OBL-000087,96,2026-02-20,Pass
CTL-000408,ORG-0007,Liquidity Risk Review Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for System report.,Trading Desk,Policy Owner,Annual,Manual,POL-000070,OBL-000287,93,2026-05-27,Pass
CTL-000409,ORG-0012,Cybersecurity Escalation Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for Vendor attestation.,Trading Desk,Admin,Annual,Manual,POL-000123,OBL-000695,51,2025-03-27,Pass with Exceptions
CTL-000410,ORG-0027,Cybersecurity Escalation Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for System report.,Operations,Compliance Officer,Daily,Automated,POL-000270,OBL-000133,38,2025-09-24,Fail
CTL-000411,ORG-0025,Cybersecurity Reconciliation Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for Incident record.,Compliance,Security Officer,Weekly,Manual,POL-000255,OBL-000444,79,2025-04-02,Pass
CTL-000412,ORG-0023,Operational Resilience Monitoring Control,Control validates that review customer or transaction risk indicators is performed and evidence is retained for Transaction report.,Risk,ML Reviewer,Monthly,Semi-automated,POL-000226,OBL-000621,77,2024-11-23,Pass
CTL-000413,ORG-0025,Disclosure Reconciliation Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Data retention proof.,Risk,Legal Reviewer,Daily,Manual,POL-000258,OBL-000389,100,2026-05-20,Pass
CTL-000414,ORG-0029,Audit & Reporting Monitoring Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Training log.,Security,Compliance Officer,Quarterly,Automated,POL-000298,OBL-000752,89,2025-11-10,Pass
CTL-000415,ORG-0007,Capital Adequacy Approval Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Training log.,Compliance,Operations Lead,Quarterly,Semi-automated,POL-000071,OBL-000097,100,2024-12-18,Pass
CTL-000416,ORG-0024,Disclosure Reconciliation Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Board minutes.,Finance,Auditor,Annual,Semi-automated,POL-000243,OBL-000715,59,2026-01-08,Pass with Exceptions
CTL-000417,ORG-0028,Data Privacy Reconciliation Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Risk assessment.,Risk,Data Protection Officer,Event-based,Semi-automated,POL-000288,OBL-000149,81,2026-05-01,Pass
