obligation_id,circular_id,regulator_code,sector,category,obligation_type,obligation_text,accountable_actor,action_required,frequency,evidence_required,due_days_from_effective_date,penalty_risk,risk_weight,expected_control,created_by_extractor,extractor_confidence
OBL-000140,CIR-00038,FIU-IND,Banking,KYC/AML,Monitor,Security Officer must review customer or transaction risk indicators for KYC/AML under FIU-IND circular CIR-00038 on a half-yearly basis.,Security Officer,review customer or transaction risk indicators,Half-yearly,Risk assessment,60,High,73,Risk committee sign-off,llm_extractor_v1,0.84
OBL-000141,CIR-00039,RBI,Insurance,Customer Protection,Monitor,Security Officer must update the internal policy and maintain approval evidence for Customer Protection under RBI circular CIR-00039 on a event-based basis.,Security Officer,update the internal policy and maintain approval evidence,Event-based,Vendor attestation,30,High,74,Maker-checker approval,llm_extractor_v1,0.968
OBL-000142,CIR-00039,RBI,Insurance,Customer Protection,Approve,Auditor must monitor threshold breaches and escalate unresolved cases for Customer Protection under RBI circular CIR-00039 on a one-time basis.,Auditor,monitor threshold breaches and escalate unresolved cases,One-time,Access review,7,High,69,Monthly review checklist,rule_engine_v1,0.814
OBL-000143,CIR-00039,RBI,Insurance,Customer Protection,Review,Operations Lead must monitor threshold breaches and escalate unresolved cases for Customer Protection under RBI circular CIR-00039 on a weekly basis.,Operations Lead,monitor threshold breaches and escalate unresolved cases,Weekly,Access review,120,Medium,44,Automated reconciliation,llm_extractor_v1,0.845
OBL-000144,CIR-00039,RBI,Insurance,Customer Protection,Implement,Data Protection Officer must submit a compliance confirmation report to management for Customer Protection under RBI circular CIR-00039 on a daily basis.,Data Protection Officer,submit a compliance confirmation report to management,Daily,Incident record,90,Medium,49,Automated reconciliation,llm_extractor_v1,0.767
OBL-000145,CIR-00040,RBI,FinTech,Data Privacy,Maintain,Operations Lead must validate system calculations against approved methodology for Data Privacy under RBI circular CIR-00040 on a one-time basis.,Operations Lead,validate system calculations against approved methodology,One-time,Incident record,120,Medium,41,Risk committee sign-off,llm_extractor_v1,0.926
OBL-000146,CIR-00040,RBI,FinTech,Data Privacy,Report,Legal Reviewer must update the internal policy and maintain approval evidence for Data Privacy under RBI circular CIR-00040 on a annual basis.,Legal Reviewer,update the internal policy and maintain approval evidence,Annual,Board minutes,60,Medium,42,Dashboard alert,llm_extractor_v1,0.744
OBL-000147,CIR-00040,RBI,FinTech,Data Privacy,Report,Admin must perform periodic control testing and document exceptions for Data Privacy under RBI circular CIR-00040 on a annual basis.,Admin,perform periodic control testing and document exceptions,Annual,Vendor attestation,30,Medium,46,Monthly review checklist,rule_engine_v1,0.704
OBL-000148,CIR-00040,RBI,FinTech,Data Privacy,Notify,Security Officer must retain supporting records for audit and supervisory review for Data Privacy under RBI circular CIR-00040 on a one-time basis.,Security Officer,retain supporting records for audit and supervisory review,One-time,Audit sample,60,Low,21,Monthly review checklist,llm_extractor_v1,0.819
OBL-000149,CIR-00040,RBI,FinTech,Data Privacy,Implement,Admin must monitor threshold breaches and escalate unresolved cases for Data Privacy under RBI circular CIR-00040 on a event-based basis.,Admin,monitor threshold breaches and escalate unresolved cases,Event-based,Risk assessment,90,Medium,48,Risk committee sign-off,rule_engine_v1,0.757
OBL-000150,CIR-00041,IRDAI,Mutual Funds,Liquidity Risk,Monitor,Security Officer must validate system calculations against approved methodology for Liquidity Risk under IRDAI circular CIR-00041 on a daily basis.,Security Officer,validate system calculations against approved methodology,Daily,System report,15,Medium,45,Dashboard alert,llm_extractor_v1,0.687
OBL-000151,CIR-00041,IRDAI,Mutual Funds,Liquidity Risk,Approve,Admin must notify stakeholders when material incidents occur for Liquidity Risk under IRDAI circular CIR-00041 on a weekly basis.,Admin,notify stakeholders when material incidents occur,Weekly,Incident record,45,High,65,Risk committee sign-off,rule_engine_v1,0.788
OBL-000152,CIR-00041,IRDAI,Mutual Funds,Liquidity Risk,Maintain,Auditor must submit a compliance confirmation report to management for Liquidity Risk under IRDAI circular CIR-00041 on a daily basis.,Auditor,submit a compliance confirmation report to management,Daily,Board minutes,120,High,69,Maker-checker approval,llm_extractor_v1,0.913
OBL-000153,CIR-00041,IRDAI,Mutual Funds,Liquidity Risk,Approve,Compliance Officer must review customer or transaction risk indicators for Liquidity Risk under IRDAI circular CIR-00041 on a event-based basis.,Compliance Officer,review customer or transaction risk indicators,Event-based,Vendor attestation,60,Medium,43,Risk committee sign-off,llm_extractor_v1,0.898
OBL-000154,CIR-00041,IRDAI,Mutual Funds,Liquidity Risk,Validate,Policy Owner must update the internal policy and maintain approval evidence for Liquidity Risk under IRDAI circular CIR-00041 on a event-based basis.,Policy Owner,update the internal policy and maintain approval evidence,Event-based,Transaction report,90,Medium,48,Maker-checker approval,rule_engine_v1,0.697
OBL-000155,CIR-00042,RBI,FinTech,Trading Risk,Notify,Data Protection Officer must update the internal policy and maintain approval evidence for Trading Risk under RBI circular CIR-00042 on a quarterly basis.,Data Protection Officer,update the internal policy and maintain approval evidence,Quarterly,Board minutes,90,Low,19,Dashboard alert,llm_extractor_v1,0.686
OBL-000156,CIR-00042,RBI,FinTech,Trading Risk,Disclose,ML Reviewer must perform periodic control testing and document exceptions for Trading Risk under RBI circular CIR-00042 on a monthly basis.,ML Reviewer,perform periodic control testing and document exceptions,Monthly,Risk assessment,45,High,74,Automated reconciliation,rule_engine_v1,0.825
OBL-000157,CIR-00042,RBI,FinTech,Trading Risk,Retain,Auditor must retain supporting records for audit and supervisory review for Trading Risk under RBI circular CIR-00042 on a one-time basis.,Auditor,retain supporting records for audit and supervisory review,One-time,Board minutes,45,Medium,42,Maker-checker approval,llm_extractor_v1,0.782
OBL-000158,CIR-00043,IRDAI,Mutual Funds,Audit & Reporting,Implement,Legal Reviewer must validate system calculations against approved methodology for Audit & Reporting under IRDAI circular CIR-00043 on a quarterly basis.,Legal Reviewer,validate system calculations against approved methodology,Quarterly,Board minutes,120,High,65,Exception workflow,rule_engine_v1,0.779
OBL-000159,CIR-00043,IRDAI,Mutual Funds,Audit & Reporting,Disclose,Security Officer must monitor threshold breaches and escalate unresolved cases for Audit & Reporting under IRDAI circular CIR-00043 on a weekly basis.,Security Officer,monitor threshold breaches and escalate unresolved cases,Weekly,System report,60,Medium,42,Independent audit sample,llm_extractor_v1,0.944
OBL-000160,CIR-00043,IRDAI,Mutual Funds,Audit & Reporting,Monitor,Policy Owner must monitor threshold breaches and escalate unresolved cases for Audit & Reporting under IRDAI circular CIR-00043 on a event-based basis.,Policy Owner,monitor threshold breaches and escalate unresolved cases,Event-based,Audit sample,60,High,73,Risk committee sign-off,llm_extractor_v1,0.77
OBL-000161,CIR-00043,IRDAI,Mutual Funds,Audit & Reporting,Validate,Policy Owner must submit a compliance confirmation report to management for Audit & Reporting under IRDAI circular CIR-00043 on a weekly basis.,Policy Owner,submit a compliance confirmation report to management,Weekly,Risk assessment,60,Medium,48,Automated reconciliation,rule_engine_v1,0.923
OBL-000162,CIR-00044,RBI,Brokerage,Cybersecurity,Report,Security Officer must retain supporting records for audit and supervisory review for Cybersecurity under RBI circular CIR-00044 on a half-yearly basis.,Security Officer,retain supporting records for audit and supervisory review,Half-yearly,Risk assessment,120,Medium,50,Exception workflow,rule_engine_v1,0.735
OBL-000163,CIR-00044,RBI,Brokerage,Cybersecurity,Review,Admin must retain supporting records for audit and supervisory review for Cybersecurity under RBI circular CIR-00044 on a weekly basis.,Admin,retain supporting records for audit and supervisory review,Weekly,Board minutes,60,High,68,Risk committee sign-off,rule_engine_v1,0.688
OBL-000164,CIR-00044,RBI,Brokerage,Cybersecurity,Maintain,ML Reviewer must notify stakeholders when material incidents occur for Cybersecurity under RBI circular CIR-00044 on a event-based basis.,ML Reviewer,notify stakeholders when material incidents occur,Event-based,Policy document,30,High,67,Independent audit sample,llm_extractor_v1,0.72
OBL-000165,CIR-00045,FIU-IND,FinTech,Incident Management,Implement,Compliance Officer must retain supporting records for audit and supervisory review for Incident Management under FIU-IND circular CIR-00045 on a one-time basis.,Compliance Officer,retain supporting records for audit and supervisory review,One-time,Risk assessment,15,Critical,95,Risk committee sign-off,llm_extractor_v1,0.699
OBL-000166,CIR-00045,FIU-IND,FinTech,Incident Management,Retain,Data Protection Officer must monitor threshold breaches and escalate unresolved cases for Incident Management under FIU-IND circular CIR-00045 on a event-based basis.,Data Protection Officer,monitor threshold breaches and escalate unresolved cases,Event-based,Incident record,120,Medium,40,Independent audit sample,llm_extractor_v1,0.794
OBL-000167,CIR-00045,FIU-IND,FinTech,Incident Management,Notify,Risk Manager must notify stakeholders when material incidents occur for Incident Management under FIU-IND circular CIR-00045 on a one-time basis.,Risk Manager,notify stakeholders when material incidents occur,One-time,Audit sample,7,Medium,43,Independent audit sample,llm_extractor_v1,0.691
OBL-000168,CIR-00046,IRDAI,Brokerage,KYC/AML,Validate,Legal Reviewer must notify stakeholders when material incidents occur for KYC/AML under IRDAI circular CIR-00046 on a one-time basis.,Legal Reviewer,notify stakeholders when material incidents occur,One-time,Training log,30,Medium,44,Data quality validation,rule_engine_v1,0.765
OBL-000169,CIR-00046,IRDAI,Brokerage,KYC/AML,Report,Data Protection Officer must perform periodic control testing and document exceptions for KYC/AML under IRDAI circular CIR-00046 on a weekly basis.,Data Protection Officer,perform periodic control testing and document exceptions,Weekly,Vendor attestation,7,High,67,Monthly review checklist,llm_extractor_v1,0.774
OBL-000170,CIR-00046,IRDAI,Brokerage,KYC/AML,Report,Admin must monitor threshold breaches and escalate unresolved cases for KYC/AML under IRDAI circular CIR-00046 on a weekly basis.,Admin,monitor threshold breaches and escalate unresolved cases,Weekly,Vendor attestation,7,High,69,Dashboard alert,llm_extractor_v1,0.943
OBL-000171,CIR-00046,IRDAI,Brokerage,KYC/AML,Review,Risk Manager must notify stakeholders when material incidents occur for KYC/AML under IRDAI circular CIR-00046 on a daily basis.,Risk Manager,notify stakeholders when material incidents occur,Daily,System report,7,High,73,Independent audit sample,llm_extractor_v1,0.963
OBL-000172,CIR-00046,IRDAI,Brokerage,KYC/AML,Notify,ML Reviewer must validate system calculations against approved methodology for KYC/AML under IRDAI circular CIR-00046 on a weekly basis.,ML Reviewer,validate system calculations against approved methodology,Weekly,Risk assessment,15,Low,20,Monthly review checklist,rule_engine_v1,0.722
OBL-000173,CIR-00047,NPCI,Insurance,Outsourcing,Disclose,Data Protection Officer must retain supporting records for audit and supervisory review for Outsourcing under NPCI circular CIR-00047 on a quarterly basis.,Data Protection Officer,retain supporting records for audit and supervisory review,Quarterly,Access review,7,High,67,Risk committee sign-off,rule_engine_v1,0.902
OBL-000174,CIR-00047,NPCI,Insurance,Outsourcing,Report,Data Protection Officer must update the internal policy and maintain approval evidence for Outsourcing under NPCI circular CIR-00047 on a event-based basis.,Data Protection Officer,update the internal policy and maintain approval evidence,Event-based,Vendor attestation,45,High,68,Risk committee sign-off,llm_extractor_v1,0.818
OBL-000175,CIR-00048,FIU-IND,Capital Markets,Capital Adequacy,Retain,Admin must update the internal policy and maintain approval evidence for Capital Adequacy under FIU-IND circular CIR-00048 on a daily basis.,Admin,update the internal policy and maintain approval evidence,Daily,Transaction report,60,Medium,44,Risk committee sign-off,rule_engine_v1,0.723
OBL-000176,CIR-00048,FIU-IND,Capital Markets,Capital Adequacy,Monitor,Compliance Officer must retain supporting records for audit and supervisory review for Capital Adequacy under FIU-IND circular CIR-00048 on a one-time basis.,Compliance Officer,retain supporting records for audit and supervisory review,One-time,Policy document,7,Medium,40,Automated reconciliation,llm_extractor_v1,0.732
OBL-000177,CIR-00048,FIU-IND,Capital Markets,Capital Adequacy,Approve,Admin must review customer or transaction risk indicators for Capital Adequacy under FIU-IND circular CIR-00048 on a weekly basis.,Admin,review customer or transaction risk indicators,Weekly,Vendor attestation,7,Critical,89,Dashboard alert,llm_extractor_v1,0.79
OBL-000178,CIR-00048,FIU-IND,Capital Markets,Capital Adequacy,Maintain,Risk Manager must retain supporting records for audit and supervisory review for Capital Adequacy under FIU-IND circular CIR-00048 on a annual basis.,Risk Manager,retain supporting records for audit and supervisory review,Annual,Audit sample,7,Medium,44,Dashboard alert,llm_extractor_v1,0.832
OBL-000179,CIR-00048,FIU-IND,Capital Markets,Capital Adequacy,Implement,Admin must perform periodic control testing and document exceptions for Capital Adequacy under FIU-IND circular CIR-00048 on a one-time basis.,Admin,perform periodic control testing and document exceptions,One-time,System report,90,Medium,49,Exception workflow,llm_extractor_v1,0.926
OBL-000180,CIR-00049,IRDAI,FinTech,Customer Protection,Validate,Admin must notify stakeholders when material incidents occur for Customer Protection under IRDAI circular CIR-00049 on a half-yearly basis.,Admin,notify stakeholders when material incidents occur,Half-yearly,Policy document,90,Medium,47,Data quality validation,llm_extractor_v1,0.936
OBL-000181,CIR-00049,IRDAI,FinTech,Customer Protection,Implement,Compliance Officer must perform periodic control testing and document exceptions for Customer Protection under IRDAI circular CIR-00049 on a quarterly basis.,Compliance Officer,perform periodic control testing and document exceptions,Quarterly,Training log,90,Low,16,Risk committee sign-off,llm_extractor_v1,0.97
OBL-000182,CIR-00049,IRDAI,FinTech,Customer Protection,Disclose,Operations Lead must monitor threshold breaches and escalate unresolved cases for Customer Protection under IRDAI circular CIR-00049 on a one-time basis.,Operations Lead,monitor threshold breaches and escalate unresolved cases,One-time,Incident record,15,Low,19,Exception workflow,llm_extractor_v1,0.769
OBL-000183,CIR-00049,IRDAI,FinTech,Customer Protection,Validate,Risk Manager must review customer or transaction risk indicators for Customer Protection under IRDAI circular CIR-00049 on a half-yearly basis.,Risk Manager,review customer or transaction risk indicators,Half-yearly,Board minutes,90,Medium,49,Maker-checker approval,llm_extractor_v1,0.736
OBL-000184,CIR-00050,MOF,Mutual Funds,Trading Risk,Retain,Policy Owner must notify stakeholders when material incidents occur for Trading Risk under MOF circular CIR-00050 on a event-based basis.,Policy Owner,notify stakeholders when material incidents occur,Event-based,Board minutes,45,Low,23,Dashboard alert,llm_extractor_v1,0.916
OBL-000185,CIR-00050,MOF,Mutual Funds,Trading Risk,Report,Operations Lead must update the internal policy and maintain approval evidence for Trading Risk under MOF circular CIR-00050 on a quarterly basis.,Operations Lead,update the internal policy and maintain approval evidence,Quarterly,Transaction report,90,Medium,45,Dashboard alert,rule_engine_v1,0.723
OBL-000186,CIR-00050,MOF,Mutual Funds,Trading Risk,Report,ML Reviewer must submit a compliance confirmation report to management for Trading Risk under MOF circular CIR-00050 on a half-yearly basis.,ML Reviewer,submit a compliance confirmation report to management,Half-yearly,Risk assessment,45,Medium,42,Automated reconciliation,llm_extractor_v1,0.898
OBL-000187,CIR-00050,MOF,Mutual Funds,Trading Risk,Monitor,Security Officer must perform periodic control testing and document exceptions for Trading Risk under MOF circular CIR-00050 on a one-time basis.,Security Officer,perform periodic control testing and document exceptions,One-time,Access review,15,Medium,45,Data quality validation,llm_extractor_v1,0.768
OBL-000188,CIR-00051,IRDAI,NBFC,Capital Adequacy,Review,Compliance Officer must monitor threshold breaches and escalate unresolved cases for Capital Adequacy under IRDAI circular CIR-00051 on a daily basis.,Compliance Officer,monitor threshold breaches and escalate unresolved cases,Daily,Incident record,45,High,73,Maker-checker approval,llm_extractor_v1,0.942
OBL-000189,CIR-00051,IRDAI,NBFC,Capital Adequacy,Review,Data Protection Officer must retain supporting records for audit and supervisory review for Capital Adequacy under IRDAI circular CIR-00051 on a monthly basis.,Data Protection Officer,retain supporting records for audit and supervisory review,Monthly,Incident record,15,High,66,Monthly review checklist,rule_engine_v1,0.691
OBL-000190,CIR-00051,IRDAI,NBFC,Capital Adequacy,Disclose,Legal Reviewer must update the internal policy and maintain approval evidence for Capital Adequacy under IRDAI circular CIR-00051 on a daily basis.,Legal Reviewer,update the internal policy and maintain approval evidence,Daily,Board minutes,60,High,66,Dashboard alert,llm_extractor_v1,0.693
OBL-000191,CIR-00051,IRDAI,NBFC,Capital Adequacy,Validate,Admin must retain supporting records for audit and supervisory review for Capital Adequacy under IRDAI circular CIR-00051 on a quarterly basis.,Admin,retain supporting records for audit and supervisory review,Quarterly,Board minutes,15,High,70,Risk committee sign-off,rule_engine_v1,0.76
OBL-000192,CIR-00052,FIU-IND,Payments,Audit & Reporting,Retain,Policy Owner must submit a compliance confirmation report to management for Audit & Reporting under FIU-IND circular CIR-00052 on a daily basis.,Policy Owner,submit a compliance confirmation report to management,Daily,Access review,7,Medium,49,Automated reconciliation,rule_engine_v1,0.782
OBL-000193,CIR-00052,FIU-IND,Payments,Audit & Reporting,Monitor,Legal Reviewer must monitor threshold breaches and escalate unresolved cases for Audit & Reporting under FIU-IND circular CIR-00052 on a quarterly basis.,Legal Reviewer,monitor threshold breaches and escalate unresolved cases,Quarterly,Policy document,30,Medium,49,Dashboard alert,llm_extractor_v1,0.695
OBL-000194,CIR-00052,FIU-IND,Payments,Audit & Reporting,Report,Compliance Officer must perform periodic control testing and document exceptions for Audit & Reporting under FIU-IND circular CIR-00052 on a event-based basis.,Compliance Officer,perform periodic control testing and document exceptions,Event-based,Data retention proof,7,Medium,46,Independent audit sample,rule_engine_v1,0.853
OBL-000195,CIR-00052,FIU-IND,Payments,Audit & Reporting,Notify,Operations Lead must retain supporting records for audit and supervisory review for Audit & Reporting under FIU-IND circular CIR-00052 on a event-based basis.,Operations Lead,retain supporting records for audit and supervisory review,Event-based,Transaction report,15,Medium,50,Automated reconciliation,llm_extractor_v1,0.899
OBL-000196,CIR-00053,SEBI,Payments,Incident Management,Notify,Data Protection Officer must perform periodic control testing and document exceptions for Incident Management under SEBI circular CIR-00053 on a weekly basis.,Data Protection Officer,perform periodic control testing and document exceptions,Weekly,System report,90,Medium,50,Data quality validation,llm_extractor_v1,0.955
OBL-000197,CIR-00053,SEBI,Payments,Incident Management,Review,Security Officer must submit a compliance confirmation report to management for Incident Management under SEBI circular CIR-00053 on a quarterly basis.,Security Officer,submit a compliance confirmation report to management,Quarterly,Incident record,90,High,70,Dashboard alert,llm_extractor_v1,0.689
OBL-000198,CIR-00053,SEBI,Payments,Incident Management,Retain,Data Protection Officer must notify stakeholders when material incidents occur for Incident Management under SEBI circular CIR-00053 on a daily basis.,Data Protection Officer,notify stakeholders when material incidents occur,Daily,Incident record,30,High,70,Monthly review checklist,llm_extractor_v1,0.798
OBL-000199,CIR-00053,SEBI,Payments,Incident Management,Maintain,Risk Manager must retain supporting records for audit and supervisory review for Incident Management under SEBI circular CIR-00053 on a half-yearly basis.,Risk Manager,retain supporting records for audit and supervisory review,Half-yearly,Audit sample,45,Medium,49,Independent audit sample,rule_engine_v1,0.751
OBL-000200,CIR-00053,SEBI,Payments,Incident Management,Review,Risk Manager must review customer or transaction risk indicators for Incident Management under SEBI circular CIR-00053 on a event-based basis.,Risk Manager,review customer or transaction risk indicators,Event-based,Risk assessment,90,Medium,49,Independent audit sample,llm_extractor_v1,0.806
OBL-000201,CIR-00054,NPCI,Payments,Liquidity Risk,Validate,Risk Manager must notify stakeholders when material incidents occur for Liquidity Risk under NPCI circular CIR-00054 on a monthly basis.,Risk Manager,notify stakeholders when material incidents occur,Monthly,Policy document,60,Low,22,Dashboard alert,llm_extractor_v1,0.918
OBL-000202,CIR-00054,NPCI,Payments,Liquidity Risk,Review,Risk Manager must perform periodic control testing and document exceptions for Liquidity Risk under NPCI circular CIR-00054 on a quarterly basis.,Risk Manager,perform periodic control testing and document exceptions,Quarterly,Risk assessment,60,High,71,Dashboard alert,llm_extractor_v1,0.871
OBL-000203,CIR-00054,NPCI,Payments,Liquidity Risk,Maintain,Admin must update the internal policy and maintain approval evidence for Liquidity Risk under NPCI circular CIR-00054 on a monthly basis.,Admin,update the internal policy and maintain approval evidence,Monthly,Policy document,90,High,67,Data quality validation,llm_extractor_v1,0.793
OBL-000204,CIR-00054,NPCI,Payments,Liquidity Risk,Notify,Auditor must review customer or transaction risk indicators for Liquidity Risk under NPCI circular CIR-00054 on a event-based basis.,Auditor,review customer or transaction risk indicators,Event-based,Training log,120,Medium,50,Exception workflow,llm_extractor_v1,0.952
OBL-000205,CIR-00055,MOF,Brokerage,Customer Protection,Maintain,ML Reviewer must validate system calculations against approved methodology for Customer Protection under MOF circular CIR-00055 on a one-time basis.,ML Reviewer,validate system calculations against approved methodology,One-time,Transaction report,120,High,69,Maker-checker approval,llm_extractor_v1,0.839
OBL-000206,CIR-00055,MOF,Brokerage,Customer Protection,Report,Operations Lead must perform periodic control testing and document exceptions for Customer Protection under MOF circular CIR-00055 on a one-time basis.,Operations Lead,perform periodic control testing and document exceptions,One-time,Audit sample,120,High,65,Risk committee sign-off,llm_extractor_v1,0.851
OBL-000207,CIR-00055,MOF,Brokerage,Customer Protection,Monitor,Security Officer must validate system calculations against approved methodology for Customer Protection under MOF circular CIR-00055 on a annual basis.,Security Officer,validate system calculations against approved methodology,Annual,Risk assessment,90,Medium,42,Data quality validation,rule_engine_v1,0.841
OBL-000208,CIR-00055,MOF,Brokerage,Customer Protection,Monitor,Legal Reviewer must submit a compliance confirmation report to management for Customer Protection under MOF circular CIR-00055 on a annual basis.,Legal Reviewer,submit a compliance confirmation report to management,Annual,Policy document,7,Low,25,Maker-checker approval,rule_engine_v1,0.937
OBL-000209,CIR-00056,MOF,Insurance,Incident Management,Review,Security Officer must notify stakeholders when material incidents occur for Incident Management under MOF circular CIR-00056 on a daily basis.,Security Officer,notify stakeholders when material incidents occur,Daily,Policy document,90,High,74,Independent audit sample,llm_extractor_v1,0.812
OBL-000210,CIR-00056,MOF,Insurance,Incident Management,Disclose,Operations Lead must monitor threshold breaches and escalate unresolved cases for Incident Management under MOF circular CIR-00056 on a event-based basis.,Operations Lead,monitor threshold breaches and escalate unresolved cases,Event-based,Risk assessment,60,Medium,40,Data quality validation,llm_extractor_v1,0.749
OBL-000211,CIR-00056,MOF,Insurance,Incident Management,Validate,ML Reviewer must review customer or transaction risk indicators for Incident Management under MOF circular CIR-00056 on a quarterly basis.,ML Reviewer,review customer or transaction risk indicators,Quarterly,Risk assessment,7,Low,24,Data quality validation,llm_extractor_v1,0.713
OBL-000212,CIR-00056,MOF,Insurance,Incident Management,Retain,ML Reviewer must retain supporting records for audit and supervisory review for Incident Management under MOF circular CIR-00056 on a daily basis.,ML Reviewer,retain supporting records for audit and supervisory review,Daily,Policy document,7,Medium,48,Automated reconciliation,rule_engine_v1,0.863
OBL-000213,CIR-00056,MOF,Insurance,Incident Management,Maintain,Compliance Officer must review customer or transaction risk indicators for Incident Management under MOF circular CIR-00056 on a quarterly basis.,Compliance Officer,review customer or transaction risk indicators,Quarterly,Transaction report,7,Medium,47,Data quality validation,llm_extractor_v1,0.816
OBL-000214,CIR-00057,IRDAI,Payments,Liquidity Risk,Disclose,Legal Reviewer must submit a compliance confirmation report to management for Liquidity Risk under IRDAI circular CIR-00057 on a half-yearly basis.,Legal Reviewer,submit a compliance confirmation report to management,Half-yearly,Access review,60,Low,19,Exception workflow,rule_engine_v1,0.817
OBL-000215,CIR-00057,IRDAI,Payments,Liquidity Risk,Review,Legal Reviewer must update the internal policy and maintain approval evidence for Liquidity Risk under IRDAI circular CIR-00057 on a one-time basis.,Legal Reviewer,update the internal policy and maintain approval evidence,One-time,Data retention proof,7,Medium,42,Automated reconciliation,llm_extractor_v1,0.761
OBL-000216,CIR-00057,IRDAI,Payments,Liquidity Risk,Review,Legal Reviewer must update the internal policy and maintain approval evidence for Liquidity Risk under IRDAI circular CIR-00057 on a quarterly basis.,Legal Reviewer,update the internal policy and maintain approval evidence,Quarterly,Access review,60,High,67,Monthly review checklist,llm_extractor_v1,0.787
OBL-000217,CIR-00057,IRDAI,Payments,Liquidity Risk,Review,Data Protection Officer must submit a compliance confirmation report to management for Liquidity Risk under IRDAI circular CIR-00057 on a quarterly basis.,Data Protection Officer,submit a compliance confirmation report to management,Quarterly,Training log,120,High,65,Dashboard alert,llm_extractor_v1,0.961
OBL-000218,CIR-00058,IRDAI,NBFC,Trading Risk,Retain,Auditor must notify stakeholders when material incidents occur for Trading Risk under IRDAI circular CIR-00058 on a annual basis.,Auditor,notify stakeholders when material incidents occur,Annual,Risk assessment,15,High,68,Dashboard alert,rule_engine_v1,0.757
OBL-000219,CIR-00058,IRDAI,NBFC,Trading Risk,Maintain,Data Protection Officer must validate system calculations against approved methodology for Trading Risk under IRDAI circular CIR-00058 on a one-time basis.,Data Protection Officer,validate system calculations against approved methodology,One-time,Policy document,45,Medium,48,Risk committee sign-off,llm_extractor_v1,0.885
OBL-000220,CIR-00058,IRDAI,NBFC,Trading Risk,Retain,ML Reviewer must validate system calculations against approved methodology for Trading Risk under IRDAI circular CIR-00058 on a quarterly basis.,ML Reviewer,validate system calculations against approved methodology,Quarterly,Policy document,120,Low,22,Independent audit sample,llm_extractor_v1,0.959
OBL-000221,CIR-00059,MOF,Mutual Funds,Cybersecurity,Maintain,Admin must retain supporting records for audit and supervisory review for Cybersecurity under MOF circular CIR-00059 on a half-yearly basis.,Admin,retain supporting records for audit and supervisory review,Half-yearly,Risk assessment,30,Medium,41,Exception workflow,llm_extractor_v1,0.793
OBL-000222,CIR-00059,MOF,Mutual Funds,Cybersecurity,Implement,Operations Lead must submit a compliance confirmation report to management for Cybersecurity under MOF circular CIR-00059 on a monthly basis.,Operations Lead,submit a compliance confirmation report to management,Monthly,Audit sample,7,Medium,50,Maker-checker approval,llm_extractor_v1,0.683
OBL-000223,CIR-00060,FIU-IND,Insurance,Liquidity Risk,Validate,Data Protection Officer must review customer or transaction risk indicators for Liquidity Risk under FIU-IND circular CIR-00060 on a daily basis.,Data Protection Officer,review customer or transaction risk indicators,Daily,Data retention proof,30,Medium,44,Risk committee sign-off,rule_engine_v1,0.86
OBL-000224,CIR-00060,FIU-IND,Insurance,Liquidity Risk,Report,Risk Manager must perform periodic control testing and document exceptions for Liquidity Risk under FIU-IND circular CIR-00060 on a monthly basis.,Risk Manager,perform periodic control testing and document exceptions,Monthly,Transaction report,60,Low,17,Independent audit sample,llm_extractor_v1,0.941
OBL-000225,CIR-00061,SEBI,Payments,Incident Management,Maintain,Legal Reviewer must notify stakeholders when material incidents occur for Incident Management under SEBI circular CIR-00061 on a weekly basis.,Legal Reviewer,notify stakeholders when material incidents occur,Weekly,Access review,7,High,75,Data quality validation,llm_extractor_v1,0.76
OBL-000226,CIR-00061,SEBI,Payments,Incident Management,Disclose,Policy Owner must perform periodic control testing and document exceptions for Incident Management under SEBI circular CIR-00061 on a half-yearly basis.,Policy Owner,perform periodic control testing and document exceptions,Half-yearly,Access review,7,Medium,46,Independent audit sample,llm_extractor_v1,0.697
OBL-000227,CIR-00061,SEBI,Payments,Incident Management,Approve,Risk Manager must notify stakeholders when material incidents occur for Incident Management under SEBI circular CIR-00061 on a weekly basis.,Risk Manager,notify stakeholders when material incidents occur,Weekly,Vendor attestation,15,Critical,94,Independent audit sample,rule_engine_v1,0.823
OBL-000228,CIR-00062,FIU-IND,Brokerage,Data Privacy,Validate,Admin must perform periodic control testing and document exceptions for Data Privacy under FIU-IND circular CIR-00062 on a annual basis.,Admin,perform periodic control testing and document exceptions,Annual,Training log,90,High,69,Automated reconciliation,rule_engine_v1,0.7
OBL-000229,CIR-00062,FIU-IND,Brokerage,Data Privacy,Approve,Data Protection Officer must submit a compliance confirmation report to management for Data Privacy under FIU-IND circular CIR-00062 on a event-based basis.,Data Protection Officer,submit a compliance confirmation report to management,Event-based,Board minutes,7,High,65,Independent audit sample,rule_engine_v1,0.883
OBL-000230,CIR-00062,FIU-IND,Brokerage,Data Privacy,Disclose,Data Protection Officer must notify stakeholders when material incidents occur for Data Privacy under FIU-IND circular CIR-00062 on a one-time basis.,Data Protection Officer,notify stakeholders when material incidents occur,One-time,Audit sample,120,Medium,41,Risk committee sign-off,rule_engine_v1,0.957
