drift_id,org_id,previous_policy_id,new_circular_id,drift_type,old_requirement,new_requirement,drift_score,impacted_departments,recommended_action,ground_truth_label,created_at
DRF-000117,ORG-0005,POL-000049,CIR-00144,Scope Expanded,annual review,quarterly review,60,"Legal,Risk","Revise policy from annual review to quarterly review, update controls, and collect new evidence.",Minor Drift,2026-01-26T15:17:00
DRF-000118,ORG-0016,POL-000165,CIR-00013,Reporting Frequency Changed,board noting,board approval with action tracker,27,"Legal,Security","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",No Action Required,2025-05-20T12:09:00
DRF-000119,ORG-0023,POL-000235,CIR-00107,Threshold Changed,basic due diligence,enhanced due diligence for high-risk customers,39,"Risk,Finance","Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",No Action Required,2025-04-23T12:25:00
DRF-000120,ORG-0010,POL-000096,CIR-00007,Retention Period Changed,annual review,quarterly review,40,"Trading Desk,Finance","Revise policy from annual review to quarterly review, update controls, and collect new evidence.",Minor Drift,2026-06-26T14:44:00
DRF-000121,ORG-0001,POL-000006,CIR-00199,Evidence Standard Changed,sample testing,complete population testing for high-risk items,47,"Trading Desk,IT,Operations","Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Minor Drift,2025-11-17T12:30:00
DRF-000122,ORG-0013,POL-000130,CIR-00204,Retention Period Changed,sample testing,complete population testing for high-risk items,80,"Trading Desk,Legal,Security","Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Material Drift,2026-04-25T19:11:00
DRF-000123,ORG-0029,POL-000296,CIR-00044,Reporting Frequency Changed,periodic audit,continuous monitoring dashboard,29,IT,"Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",No Action Required,2026-03-02T15:40:00
DRF-000124,ORG-0014,POL-000138,CIR-00035,Threshold Changed,informal escalation,formal incident notification within 24 hours,33,Security,"Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",No Action Required,2026-05-27T19:37:00
DRF-000125,ORG-0020,POL-000202,CIR-00119,Reporting Frequency Changed,periodic audit,continuous monitoring dashboard,84,Audit,"Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Material Drift,2025-09-01T19:54:00
DRF-000126,ORG-0002,POL-000019,CIR-00181,Scope Expanded,manual evidence upload,system-generated evidence hash,78,"Finance,Risk","Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",Material Drift,2026-03-31T08:18:00
DRF-000127,ORG-0030,POL-000304,CIR-00144,Retention Period Changed,static limits,dynamic risk-based limits,44,Data Governance,"Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",Minor Drift,2026-05-05T16:59:00
DRF-000128,ORG-0013,POL-000132,CIR-00069,Timeline Tightened,manual evidence upload,system-generated evidence hash,68,Security,"Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",Minor Drift,2025-11-16T09:24:00
DRF-000129,ORG-0012,POL-000122,CIR-00158,Threshold Changed,sample testing,complete population testing for high-risk items,60,Legal,"Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Minor Drift,2025-04-08T13:16:00
DRF-000130,ORG-0004,POL-000039,CIR-00203,Timeline Tightened,informal escalation,formal incident notification within 24 hours,81,"Finance,Security,Trading Desk","Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Material Drift,2026-04-22T15:00:00
DRF-000131,ORG-0004,POL-000040,CIR-00149,Scope Expanded,static limits,dynamic risk-based limits,22,"Legal,Operations,IT","Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",No Action Required,2025-10-06T10:31:00
DRF-000132,ORG-0001,POL-000007,CIR-00096,Evidence Standard Changed,sample testing,complete population testing for high-risk items,46,"IT,Data Governance","Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Minor Drift,2025-10-10T19:08:00
DRF-000133,ORG-0030,POL-000307,CIR-00084,Approval Level Increased,board noting,board approval with action tracker,66,"Risk,Legal,Compliance","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Minor Drift,2025-09-01T13:34:00
DRF-000134,ORG-0026,POL-000267,CIR-00057,New Control Required,basic due diligence,enhanced due diligence for high-risk customers,37,"Compliance,Data Governance","Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",No Action Required,2026-06-04T08:03:00
DRF-000135,ORG-0009,POL-000090,CIR-00202,Timeline Tightened,manual evidence upload,system-generated evidence hash,71,"Finance,Audit,Compliance","Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",Material Drift,2025-10-03T16:32:00
DRF-000136,ORG-0002,POL-000018,CIR-00146,Reporting Frequency Changed,informal escalation,formal incident notification within 24 hours,47,"IT,Risk,Data Governance","Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Minor Drift,2025-12-20T18:32:00
DRF-000137,ORG-0008,POL-000075,CIR-00040,Retention Period Changed,basic due diligence,enhanced due diligence for high-risk customers,27,Risk,"Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",No Action Required,2025-05-19T14:34:00
DRF-000138,ORG-0024,POL-000244,CIR-00104,Scope Expanded,annual review,quarterly review,88,"Legal,IT,Risk","Revise policy from annual review to quarterly review, update controls, and collect new evidence.",Material Drift,2025-08-04T17:32:00
DRF-000139,ORG-0020,POL-000200,CIR-00090,Evidence Standard Changed,static limits,dynamic risk-based limits,81,"Risk,Data Governance,Security","Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",Material Drift,2026-03-06T20:35:00
DRF-000140,ORG-0023,POL-000228,CIR-00099,Evidence Standard Changed,manual evidence upload,system-generated evidence hash,60,IT,"Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",Minor Drift,2025-07-16T11:24:00
DRF-000141,ORG-0013,POL-000136,CIR-00164,Reporting Frequency Changed,board noting,board approval with action tracker,95,Security,"Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Material Drift,2025-11-19T19:18:00
DRF-000142,ORG-0008,POL-000073,CIR-00060,Scope Expanded,board noting,board approval with action tracker,75,"IT,Security","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Material Drift,2026-05-15T13:51:00
DRF-000143,ORG-0013,POL-000130,CIR-00188,Evidence Standard Changed,manual evidence upload,system-generated evidence hash,62,"Finance,IT","Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",Minor Drift,2026-02-19T09:57:00
DRF-000144,ORG-0014,POL-000137,CIR-00153,Reporting Frequency Changed,static limits,dynamic risk-based limits,27,"Trading Desk,IT","Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",No Action Required,2025-12-03T14:26:00
DRF-000145,ORG-0001,POL-000012,CIR-00020,Scope Expanded,periodic audit,continuous monitoring dashboard,68,Security,"Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Minor Drift,2026-04-13T18:30:00
DRF-000146,ORG-0008,POL-000073,CIR-00116,Timeline Tightened,board noting,board approval with action tracker,39,"Audit,Trading Desk","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",No Action Required,2026-04-04T19:44:00
DRF-000147,ORG-0005,POL-000051,CIR-00052,Evidence Standard Changed,annual review,quarterly review,95,"Finance,Security,Audit","Revise policy from annual review to quarterly review, update controls, and collect new evidence.",Material Drift,2026-05-30T13:50:00
DRF-000148,ORG-0026,POL-000263,CIR-00028,Reporting Frequency Changed,periodic audit,continuous monitoring dashboard,67,"Finance,Data Governance,Security","Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Minor Drift,2025-07-04T20:35:00
DRF-000149,ORG-0014,POL-000145,CIR-00076,Approval Level Increased,board noting,board approval with action tracker,91,Finance,"Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Material Drift,2026-06-20T16:17:00
DRF-000150,ORG-0004,POL-000038,CIR-00096,New Control Required,periodic audit,continuous monitoring dashboard,64,"Trading Desk,Operations,Risk","Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Minor Drift,2025-09-17T18:27:00
DRF-000151,ORG-0023,POL-000232,CIR-00148,Scope Expanded,periodic audit,continuous monitoring dashboard,87,Data Governance,"Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Material Drift,2026-07-15T14:05:00
DRF-000152,ORG-0007,POL-000063,CIR-00033,Scope Expanded,sample testing,complete population testing for high-risk items,81,"Operations,Risk","Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Material Drift,2025-10-13T19:40:00
DRF-000153,ORG-0025,POL-000258,CIR-00073,Approval Level Increased,periodic audit,continuous monitoring dashboard,93,"Finance,IT","Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Material Drift,2025-11-18T18:44:00
DRF-000154,ORG-0013,POL-000129,CIR-00150,Reporting Frequency Changed,static limits,dynamic risk-based limits,83,IT,"Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",Material Drift,2026-05-04T09:43:00
DRF-000155,ORG-0030,POL-000311,CIR-00092,Reporting Frequency Changed,sample testing,complete population testing for high-risk items,24,"Finance,Risk,Trading Desk","Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",No Action Required,2026-04-25T18:53:00
DRF-000156,ORG-0012,POL-000117,CIR-00023,New Control Required,periodic audit,continuous monitoring dashboard,73,Security,"Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Material Drift,2026-05-20T12:03:00
DRF-000157,ORG-0014,POL-000137,CIR-00040,Timeline Tightened,manual evidence upload,system-generated evidence hash,95,Finance,"Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",Material Drift,2026-05-16T20:55:00
DRF-000158,ORG-0006,POL-000058,CIR-00158,Threshold Changed,static limits,dynamic risk-based limits,81,Trading Desk,"Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",Material Drift,2026-05-03T16:44:00
DRF-000159,ORG-0027,POL-000273,CIR-00055,Scope Expanded,informal escalation,formal incident notification within 24 hours,68,Trading Desk,"Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Minor Drift,2025-07-06T09:36:00
DRF-000160,ORG-0014,POL-000145,CIR-00045,Approval Level Increased,board noting,board approval with action tracker,73,"IT,Risk,Legal","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Material Drift,2026-06-23T08:02:00
DRF-000161,ORG-0014,POL-000144,CIR-00143,Scope Expanded,periodic audit,continuous monitoring dashboard,74,"Risk,Data Governance","Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Material Drift,2025-10-28T17:05:00
DRF-000162,ORG-0021,POL-000208,CIR-00186,Timeline Tightened,periodic audit,continuous monitoring dashboard,29,Audit,"Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",No Action Required,2026-05-23T16:13:00
DRF-000163,ORG-0022,POL-000224,CIR-00192,New Control Required,board noting,board approval with action tracker,57,Finance,"Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Minor Drift,2025-08-14T14:01:00
DRF-000164,ORG-0016,POL-000160,CIR-00090,Timeline Tightened,annual review,quarterly review,75,"Finance,Data Governance,Legal","Revise policy from annual review to quarterly review, update controls, and collect new evidence.",Material Drift,2025-12-31T13:57:00
DRF-000165,ORG-0007,POL-000063,CIR-00009,New Control Required,board noting,board approval with action tracker,67,"IT,Finance","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Minor Drift,2025-12-24T20:21:00
DRF-000166,ORG-0020,POL-000196,CIR-00039,Scope Expanded,informal escalation,formal incident notification within 24 hours,26,Finance,"Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",No Action Required,2026-07-13T20:22:00
DRF-000167,ORG-0024,POL-000248,CIR-00160,Retention Period Changed,periodic audit,continuous monitoring dashboard,59,"Risk,Security,IT","Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Minor Drift,2025-06-03T18:03:00
DRF-000168,ORG-0003,POL-000029,CIR-00169,Approval Level Increased,annual review,quarterly review,56,Compliance,"Revise policy from annual review to quarterly review, update controls, and collect new evidence.",Minor Drift,2026-03-28T14:46:00
DRF-000169,ORG-0030,POL-000312,CIR-00120,Evidence Standard Changed,informal escalation,formal incident notification within 24 hours,83,Security,"Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Material Drift,2026-05-27T19:27:00
DRF-000170,ORG-0014,POL-000145,CIR-00121,Evidence Standard Changed,annual review,quarterly review,82,"Finance,Legal,Risk","Revise policy from annual review to quarterly review, update controls, and collect new evidence.",Material Drift,2025-05-06T14:30:00
DRF-000171,ORG-0004,POL-000036,CIR-00061,Reporting Frequency Changed,annual review,quarterly review,69,"Data Governance,IT,Operations","Revise policy from annual review to quarterly review, update controls, and collect new evidence.",Minor Drift,2026-06-20T14:51:00
DRF-000172,ORG-0012,POL-000116,CIR-00192,Threshold Changed,manual evidence upload,system-generated evidence hash,73,"IT,Risk","Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",Material Drift,2026-05-25T11:27:00
DRF-000173,ORG-0026,POL-000267,CIR-00180,Scope Expanded,informal escalation,formal incident notification within 24 hours,39,IT,"Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",No Action Required,2025-10-04T09:43:00
DRF-000174,ORG-0001,POL-000003,CIR-00026,Timeline Tightened,sample testing,complete population testing for high-risk items,66,Audit,"Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Minor Drift,2026-07-13T14:53:00
DRF-000175,ORG-0008,POL-000082,CIR-00147,Retention Period Changed,board noting,board approval with action tracker,90,Security,"Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Material Drift,2025-12-22T16:04:00
DRF-000176,ORG-0023,POL-000229,CIR-00102,Scope Expanded,annual review,quarterly review,53,"Trading Desk,Security,Compliance","Revise policy from annual review to quarterly review, update controls, and collect new evidence.",Minor Drift,2026-04-09T15:36:00
DRF-000177,ORG-0023,POL-000229,CIR-00054,Reporting Frequency Changed,board noting,board approval with action tracker,56,Trading Desk,"Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Minor Drift,2026-05-21T13:24:00
DRF-000178,ORG-0014,POL-000143,CIR-00023,Scope Expanded,static limits,dynamic risk-based limits,31,Legal,"Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",No Action Required,2025-07-24T17:59:00
DRF-000179,ORG-0006,POL-000061,CIR-00096,Evidence Standard Changed,annual review,quarterly review,95,"Finance,Risk","Revise policy from annual review to quarterly review, update controls, and collect new evidence.",Material Drift,2025-04-15T20:12:00
DRF-000180,ORG-0005,POL-000045,CIR-00101,Timeline Tightened,basic due diligence,enhanced due diligence for high-risk customers,91,"Legal,Finance","Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Material Drift,2026-03-03T15:43:00
DRF-000181,ORG-0002,POL-000018,CIR-00169,Evidence Standard Changed,manual evidence upload,system-generated evidence hash,48,"IT,Operations,Compliance","Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",Minor Drift,2026-01-28T08:17:00
DRF-000182,ORG-0011,POL-000114,CIR-00131,Threshold Changed,manual evidence upload,system-generated evidence hash,80,Audit,"Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",Material Drift,2026-06-09T09:38:00
DRF-000183,ORG-0008,POL-000073,CIR-00070,Timeline Tightened,informal escalation,formal incident notification within 24 hours,31,"Data Governance,Compliance,Audit","Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",No Action Required,2025-06-15T15:14:00
DRF-000184,ORG-0004,POL-000035,CIR-00196,Threshold Changed,periodic audit,continuous monitoring dashboard,64,"Trading Desk,Legal","Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Minor Drift,2025-06-29T12:06:00
DRF-000185,ORG-0006,POL-000060,CIR-00100,Timeline Tightened,basic due diligence,enhanced due diligence for high-risk customers,51,"Security,Risk,Compliance","Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Minor Drift,2025-05-14T18:36:00
DRF-000186,ORG-0012,POL-000118,CIR-00041,Reporting Frequency Changed,informal escalation,formal incident notification within 24 hours,94,Security,"Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Material Drift,2025-08-03T20:54:00
DRF-000187,ORG-0009,POL-000085,CIR-00184,Threshold Changed,static limits,dynamic risk-based limits,30,"Audit,Legal","Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",No Action Required,2026-03-16T10:08:00
DRF-000188,ORG-0002,POL-000020,CIR-00212,Reporting Frequency Changed,static limits,dynamic risk-based limits,89,"Risk,IT","Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",Material Drift,2025-06-30T19:35:00
DRF-000189,ORG-0006,POL-000057,CIR-00206,Evidence Standard Changed,basic due diligence,enhanced due diligence for high-risk customers,57,Legal,"Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Minor Drift,2026-05-12T09:50:00
DRF-000190,ORG-0004,POL-000041,CIR-00044,New Control Required,board noting,board approval with action tracker,68,"Compliance,Data Governance,Risk","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Minor Drift,2025-12-13T10:03:00
DRF-000191,ORG-0017,POL-000169,CIR-00142,Evidence Standard Changed,static limits,dynamic risk-based limits,77,"Compliance,IT,Trading Desk","Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",Material Drift,2026-07-09T09:12:00
DRF-000192,ORG-0011,POL-000107,CIR-00133,Retention Period Changed,board noting,board approval with action tracker,45,Security,"Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Minor Drift,2025-06-13T08:56:00
DRF-000193,ORG-0029,POL-000303,CIR-00092,Timeline Tightened,periodic audit,continuous monitoring dashboard,48,"Data Governance,Audit","Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Minor Drift,2026-01-17T10:20:00
DRF-000194,ORG-0016,POL-000159,CIR-00127,Retention Period Changed,informal escalation,formal incident notification within 24 hours,93,Audit,"Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Material Drift,2025-03-26T19:16:00
DRF-000195,ORG-0023,POL-000231,CIR-00191,Evidence Standard Changed,manual evidence upload,system-generated evidence hash,76,Risk,"Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",Material Drift,2026-02-21T11:30:00
DRF-000196,ORG-0002,POL-000015,CIR-00180,Evidence Standard Changed,static limits,dynamic risk-based limits,69,"Risk,Finance","Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",Minor Drift,2026-07-05T19:30:00
DRF-000197,ORG-0006,POL-000059,CIR-00014,Scope Expanded,informal escalation,formal incident notification within 24 hours,57,Compliance,"Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Minor Drift,2026-05-02T10:26:00
DRF-000198,ORG-0006,POL-000053,CIR-00005,Timeline Tightened,sample testing,complete population testing for high-risk items,90,Legal,"Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Material Drift,2025-04-04T20:50:00
DRF-000199,ORG-0030,POL-000313,CIR-00023,Approval Level Increased,board noting,board approval with action tracker,35,"Operations,IT,Security","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",No Action Required,2026-05-31T09:50:00
DRF-000200,ORG-0011,POL-000107,CIR-00024,Scope Expanded,manual evidence upload,system-generated evidence hash,49,Trading Desk,"Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",Minor Drift,2026-05-20T11:05:00
DRF-000201,ORG-0008,POL-000082,CIR-00119,Retention Period Changed,informal escalation,formal incident notification within 24 hours,42,"Trading Desk,Audit,Risk","Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Minor Drift,2025-07-11T19:02:00
DRF-000202,ORG-0010,POL-000095,CIR-00219,Retention Period Changed,sample testing,complete population testing for high-risk items,71,"Compliance,Audit,IT","Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Material Drift,2026-04-09T15:52:00
DRF-000203,ORG-0022,POL-000222,CIR-00158,Reporting Frequency Changed,static limits,dynamic risk-based limits,40,"Trading Desk,Audit,Compliance","Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",Minor Drift,2026-01-30T15:33:00
DRF-000204,ORG-0026,POL-000266,CIR-00039,Approval Level Increased,basic due diligence,enhanced due diligence for high-risk customers,95,"Risk,Operations,Data Governance","Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Material Drift,2026-06-05T12:04:00
DRF-000205,ORG-0008,POL-000074,CIR-00184,Reporting Frequency Changed,periodic audit,continuous monitoring dashboard,52,"Data Governance,Risk,Audit","Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Minor Drift,2025-08-02T12:10:00
DRF-000206,ORG-0022,POL-000218,CIR-00053,Reporting Frequency Changed,board noting,board approval with action tracker,25,Data Governance,"Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",No Action Required,2026-03-28T16:41:00
DRF-000207,ORG-0017,POL-000174,CIR-00203,Evidence Standard Changed,basic due diligence,enhanced due diligence for high-risk customers,21,"IT,Legal,Risk","Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",No Action Required,2025-11-08T09:00:00
DRF-000208,ORG-0029,POL-000300,CIR-00171,Reporting Frequency Changed,periodic audit,continuous monitoring dashboard,88,"Operations,Risk","Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Material Drift,2025-09-15T17:53:00
DRF-000209,ORG-0021,POL-000213,CIR-00111,Threshold Changed,board noting,board approval with action tracker,21,"Trading Desk,Legal,Data Governance","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",No Action Required,2025-08-01T15:55:00
DRF-000210,ORG-0016,POL-000166,CIR-00085,Evidence Standard Changed,sample testing,complete population testing for high-risk items,77,"IT,Operations","Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Material Drift,2025-09-30T11:08:00
DRF-000211,ORG-0009,POL-000092,CIR-00135,Evidence Standard Changed,manual evidence upload,system-generated evidence hash,21,"Risk,Finance,Legal","Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",No Action Required,2025-05-23T17:33:00
DRF-000212,ORG-0019,POL-000193,CIR-00066,Threshold Changed,board noting,board approval with action tracker,94,Risk,"Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Material Drift,2025-10-26T16:44:00
DRF-000213,ORG-0003,POL-000033,CIR-00214,Evidence Standard Changed,basic due diligence,enhanced due diligence for high-risk customers,69,"Audit,Risk","Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Minor Drift,2026-03-26T17:01:00
DRF-000214,ORG-0016,POL-000159,CIR-00162,Reporting Frequency Changed,board noting,board approval with action tracker,63,Audit,"Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Minor Drift,2026-03-14T14:18:00
DRF-000215,ORG-0027,POL-000279,CIR-00047,Timeline Tightened,sample testing,complete population testing for high-risk items,68,"Finance,Risk,Compliance","Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Minor Drift,2025-05-23T15:41:00
DRF-000216,ORG-0009,POL-000089,CIR-00042,Scope Expanded,basic due diligence,enhanced due diligence for high-risk customers,54,"Trading Desk,Risk","Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Minor Drift,2026-01-26T11:03:00
DRF-000217,ORG-0013,POL-000135,CIR-00167,Retention Period Changed,board noting,board approval with action tracker,45,"Audit,Compliance,Trading Desk","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Minor Drift,2025-09-22T11:21:00
DRF-000218,ORG-0018,POL-000185,CIR-00053,Reporting Frequency Changed,informal escalation,formal incident notification within 24 hours,46,"Audit,Data Governance","Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Minor Drift,2026-07-07T09:15:00
DRF-000219,ORG-0007,POL-000066,CIR-00018,New Control Required,static limits,dynamic risk-based limits,54,Legal,"Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",Minor Drift,2025-07-29T10:17:00
DRF-000220,ORG-0014,POL-000146,CIR-00057,New Control Required,basic due diligence,enhanced due diligence for high-risk customers,35,"Audit,Trading Desk","Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",No Action Required,2026-01-02T16:50:00
DRF-000221,ORG-0007,POL-000070,CIR-00208,Retention Period Changed,periodic audit,continuous monitoring dashboard,40,Security,"Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Minor Drift,2025-07-21T17:31:00
DRF-000222,ORG-0028,POL-000282,CIR-00129,Scope Expanded,board noting,board approval with action tracker,79,Finance,"Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Material Drift,2026-03-31T17:27:00
DRF-000223,ORG-0011,POL-000110,CIR-00073,New Control Required,basic due diligence,enhanced due diligence for high-risk customers,47,"Legal,IT,Security","Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Minor Drift,2025-04-04T11:17:00
DRF-000224,ORG-0016,POL-000165,CIR-00154,Reporting Frequency Changed,static limits,dynamic risk-based limits,67,"Security,Audit,Compliance","Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",Minor Drift,2025-10-25T14:33:00
DRF-000225,ORG-0020,POL-000203,CIR-00187,Scope Expanded,board noting,board approval with action tracker,63,Legal,"Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Minor Drift,2025-12-14T11:25:00
DRF-000226,ORG-0019,POL-000189,CIR-00002,Evidence Standard Changed,annual review,quarterly review,32,"IT,Trading Desk,Legal","Revise policy from annual review to quarterly review, update controls, and collect new evidence.",No Action Required,2025-05-23T18:12:00
DRF-000227,ORG-0019,POL-000189,CIR-00187,Scope Expanded,annual review,quarterly review,24,"Compliance,Data Governance,Finance","Revise policy from annual review to quarterly review, update controls, and collect new evidence.",No Action Required,2026-02-10T18:21:00
DRF-000228,ORG-0015,POL-000149,CIR-00171,Threshold Changed,sample testing,complete population testing for high-risk items,35,"Compliance,Risk","Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",No Action Required,2025-12-30T14:04:00
DRF-000229,ORG-0019,POL-000187,CIR-00219,Threshold Changed,sample testing,complete population testing for high-risk items,54,Finance,"Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Minor Drift,2026-01-23T13:34:00
DRF-000230,ORG-0002,POL-000018,CIR-00191,Reporting Frequency Changed,manual evidence upload,system-generated evidence hash,25,"Trading Desk,Audit","Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",No Action Required,2025-07-27T13:02:00
DRF-000231,ORG-0008,POL-000074,CIR-00132,Retention Period Changed,board noting,board approval with action tracker,57,Finance,"Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Minor Drift,2025-07-18T10:10:00
DRF-000232,ORG-0017,POL-000174,CIR-00091,Approval Level Increased,static limits,dynamic risk-based limits,49,"Finance,Compliance","Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",Minor Drift,2026-05-16T10:14:00
DRF-000233,ORG-0011,POL-000106,CIR-00187,Retention Period Changed,manual evidence upload,system-generated evidence hash,93,"Legal,Risk,IT","Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",Material Drift,2026-06-05T16:11:00
