mapping_id,org_id,policy_id,obligation_id,coverage_status,coverage_score,matched_policy_clause,gap_summary,ai_confidence,review_status,reviewed_by,reviewed_at
MAP-0000240,ORG-0005,POL-000049,OBL-000364,Fully Covered,98,"Policy clause mentions operational resilience control ownership, review cadence, and evidence retention.",No major gap identified.,0.656,Pending Review,USR-00095,2025-07-28T08:41:00
MAP-0000241,ORG-0005,POL-000051,OBL-000085,Partially Covered,69,"Policy clause mentions trading risk control ownership, review cadence, and evidence retention.",Policy needs clearer wording for monitor threshold breaches and escalate unresolved cases and evidence requirements.,0.943,Accepted,USR-00005,2026-04-04T13:48:00
MAP-0000242,ORG-0005,POL-000051,OBL-000357,Partially Covered,63,"Policy clause mentions trading risk control ownership, review cadence, and evidence retention.",Policy needs clearer wording for monitor threshold breaches and escalate unresolved cases and evidence requirements.,0.9,Accepted,USR-00050,2025-05-28T18:39:00
MAP-0000243,ORG-0005,POL-000045,OBL-000323,Not Covered,32,"Policy clause mentions operational resilience control ownership, review cadence, and evidence retention.",Policy needs clearer wording for notify stakeholders when material incidents occur and evidence requirements.,0.9,Accepted,USR-00029,2025-11-23T17:30:00
MAP-0000244,ORG-0005,POL-000046,OBL-000256,Fully Covered,98,"Policy clause mentions outsourcing control ownership, review cadence, and evidence retention.",No major gap identified.,0.903,Accepted,USR-00061,2025-04-20T20:02:00
MAP-0000245,ORG-0005,POL-000045,OBL-000130,Not Covered,13,"Policy clause mentions capital adequacy control ownership, review cadence, and evidence retention.",Policy needs clearer wording for review customer or transaction risk indicators and evidence requirements.,0.754,Accepted,USR-00076,2025-10-26T09:20:00
MAP-0000246,ORG-0005,POL-000049,OBL-000030,Fully Covered,88,"Policy clause mentions data privacy control ownership, review cadence, and evidence retention.",No major gap identified.,0.868,Accepted,USR-00055,2025-09-21T15:46:00
MAP-0000247,ORG-0005,POL-000045,OBL-000033,Fully Covered,95,"Policy clause mentions data privacy control ownership, review cadence, and evidence retention.",No major gap identified.,0.772,Accepted,USR-00005,2026-04-15T12:54:00
MAP-0000248,ORG-0005,POL-000046,OBL-000632,Partially Covered,51,"Policy clause mentions data privacy control ownership, review cadence, and evidence retention.",Policy needs clearer wording for retain supporting records for audit and supervisory review and evidence requirements.,0.716,Pending Review,USR-00023,2024-08-24T20:22:00
MAP-0000249,ORG-0005,POL-000046,OBL-000209,Fully Covered,98,"Policy clause mentions incident management control ownership, review cadence, and evidence retention.",No major gap identified.,0.942,Accepted,USR-00135,2025-11-15T16:03:00
MAP-0000250,ORG-0005,POL-000046,OBL-000379,Partially Covered,45,"Policy clause mentions cybersecurity control ownership, review cadence, and evidence retention.",Policy needs clearer wording for monitor threshold breaches and escalate unresolved cases and evidence requirements.,0.712,Accepted,USR-00132,2026-01-09T16:54:00
MAP-0000251,ORG-0005,POL-000049,OBL-000322,Fully Covered,86,"Policy clause mentions operational resilience control ownership, review cadence, and evidence retention.",No major gap identified.,0.938,Accepted,USR-00110,2025-09-18T08:20:00
MAP-0000252,ORG-0005,POL-000050,OBL-000276,Partially Covered,73,"Policy clause mentions incident management control ownership, review cadence, and evidence retention.",Policy needs clearer wording for retain supporting records for audit and supervisory review and evidence requirements.,0.803,Accepted,USR-00043,2024-12-07T15:45:00
MAP-0000253,ORG-0005,POL-000049,OBL-000575,Partially Covered,62,"Policy clause mentions capital adequacy control ownership, review cadence, and evidence retention.",Policy needs clearer wording for validate system calculations against approved methodology and evidence requirements.,0.804,Accepted,USR-00109,2025-07-26T20:55:00
MAP-0000254,ORG-0005,POL-000049,OBL-000394,Partially Covered,63,"Policy clause mentions cybersecurity control ownership, review cadence, and evidence retention.",Policy needs clearer wording for review customer or transaction risk indicators and evidence requirements.,0.68,Accepted,USR-00031,2024-10-11T20:44:00
MAP-0000255,ORG-0005,POL-000050,OBL-000320,Needs Human Review,21,"Policy clause mentions operational resilience control ownership, review cadence, and evidence retention.",Policy needs clearer wording for validate system calculations against approved methodology and evidence requirements.,0.666,Pending Review,USR-00011,2024-08-31T10:51:00
MAP-0000256,ORG-0005,POL-000048,OBL-000573,Fully Covered,89,"Policy clause mentions capital adequacy control ownership, review cadence, and evidence retention.",No major gap identified.,0.819,Pending Review,USR-00019,2025-03-18T10:41:00
MAP-0000257,ORG-0005,POL-000045,OBL-000429,Partially Covered,65,"Policy clause mentions cybersecurity control ownership, review cadence, and evidence retention.",Policy needs clearer wording for notify stakeholders when material incidents occur and evidence requirements.,0.644,Accepted,USR-00088,2025-11-23T08:33:00
MAP-0000258,ORG-0005,POL-000047,OBL-000321,Partially Covered,72,"Policy clause mentions operational resilience control ownership, review cadence, and evidence retention.",Policy needs clearer wording for update the internal policy and maintain approval evidence and evidence requirements.,0.809,Accepted,USR-00026,2025-05-05T12:18:00
MAP-0000259,ORG-0005,POL-000050,OBL-000016,Fully Covered,97,"Policy clause mentions cybersecurity control ownership, review cadence, and evidence retention.",No major gap identified.,0.669,Rejected,USR-00057,2025-09-25T15:57:00
MAP-0000260,ORG-0005,POL-000051,OBL-000031,Partially Covered,63,"Policy clause mentions data privacy control ownership, review cadence, and evidence retention.",Policy needs clearer wording for perform periodic control testing and document exceptions and evidence requirements.,0.839,Accepted,USR-00002,2024-11-28T13:54:00
MAP-0000261,ORG-0006,POL-000054,OBL-000664,Partially Covered,67,"Policy clause mentions data privacy control ownership, review cadence, and evidence retention.",Policy needs clearer wording for update the internal policy and maintain approval evidence and evidence requirements.,0.783,Accepted,USR-00093,2026-02-14T18:17:00
MAP-0000262,ORG-0006,POL-000059,OBL-000650,Fully Covered,86,"Policy clause mentions kyc/aml control ownership, review cadence, and evidence retention.",No major gap identified.,0.913,Rejected,USR-00084,2024-12-11T17:05:00
MAP-0000263,ORG-0006,POL-000060,OBL-000222,Not Covered,42,"Policy clause mentions cybersecurity control ownership, review cadence, and evidence retention.",Policy needs clearer wording for submit a compliance confirmation report to management and evidence requirements.,0.872,Accepted,USR-00142,2025-03-22T19:06:00
MAP-0000264,ORG-0006,POL-000058,OBL-000431,Fully Covered,87,"Policy clause mentions customer protection control ownership, review cadence, and evidence retention.",No major gap identified.,0.864,Rejected,USR-00121,2025-01-14T09:29:00
MAP-0000265,ORG-0006,POL-000062,OBL-000346,Fully Covered,96,"Policy clause mentions incident management control ownership, review cadence, and evidence retention.",No major gap identified.,0.888,Pending Review,USR-00145,2026-05-21T17:11:00
MAP-0000266,ORG-0006,POL-000052,OBL-000309,Fully Covered,87,"Policy clause mentions capital adequacy control ownership, review cadence, and evidence retention.",No major gap identified.,0.673,Rejected,USR-00055,2025-09-13T10:06:00
MAP-0000267,ORG-0006,POL-000058,OBL-000151,Partially Covered,49,"Policy clause mentions liquidity risk control ownership, review cadence, and evidence retention.",Policy needs clearer wording for notify stakeholders when material incidents occur and evidence requirements.,0.838,Accepted,USR-00141,2024-12-13T11:57:00
MAP-0000268,ORG-0006,POL-000054,OBL-000497,Fully Covered,93,"Policy clause mentions customer protection control ownership, review cadence, and evidence retention.",No major gap identified.,0.859,Accepted,USR-00148,2026-01-23T11:20:00
MAP-0000269,ORG-0006,POL-000060,OBL-000310,Needs Human Review,37,"Policy clause mentions capital adequacy control ownership, review cadence, and evidence retention.",Policy needs clearer wording for retain supporting records for audit and supervisory review and evidence requirements.,0.762,Accepted,USR-00119,2025-12-05T11:10:00
MAP-0000270,ORG-0006,POL-000058,OBL-000685,Fully Covered,82,"Policy clause mentions cybersecurity control ownership, review cadence, and evidence retention.",No major gap identified.,0.814,Accepted,USR-00065,2026-03-02T20:49:00
MAP-0000271,ORG-0006,POL-000059,OBL-000686,Partially Covered,52,"Policy clause mentions cybersecurity control ownership, review cadence, and evidence retention.",Policy needs clearer wording for monitor threshold breaches and escalate unresolved cases and evidence requirements.,0.681,Accepted,USR-00150,2025-10-11T08:11:00
MAP-0000272,ORG-0006,POL-000061,OBL-000289,Fully Covered,84,"Policy clause mentions data privacy control ownership, review cadence, and evidence retention.",No major gap identified.,0.675,Accepted,USR-00120,2026-01-09T15:46:00
MAP-0000273,ORG-0006,POL-000053,OBL-000752,Fully Covered,92,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",No major gap identified.,0.667,Rejected,USR-00133,2025-03-24T10:09:00
MAP-0000274,ORG-0006,POL-000052,OBL-000521,Not Covered,6,"Policy clause mentions customer protection control ownership, review cadence, and evidence retention.",Policy needs clearer wording for notify stakeholders when material incidents occur and evidence requirements.,0.666,Accepted,USR-00014,2026-01-31T11:11:00
MAP-0000275,ORG-0006,POL-000052,OBL-000159,Not Covered,16,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",Policy needs clearer wording for monitor threshold breaches and escalate unresolved cases and evidence requirements.,0.879,Accepted,USR-00120,2026-01-01T16:32:00
MAP-0000276,ORG-0006,POL-000061,OBL-000753,Fully Covered,88,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",No major gap identified.,0.856,Pending Review,USR-00096,2026-06-02T16:22:00
MAP-0000277,ORG-0006,POL-000054,OBL-000185,Fully Covered,94,"Policy clause mentions trading risk control ownership, review cadence, and evidence retention.",No major gap identified.,0.934,Pending Review,USR-00011,2025-02-10T08:17:00
MAP-0000278,ORG-0006,POL-000056,OBL-000291,Fully Covered,94,"Policy clause mentions data privacy control ownership, review cadence, and evidence retention.",No major gap identified.,0.839,Pending Review,USR-00147,2025-06-12T09:29:00
MAP-0000279,ORG-0006,POL-000053,OBL-000730,Fully Covered,87,"Policy clause mentions disclosure control ownership, review cadence, and evidence retention.",No major gap identified.,0.944,Pending Review,USR-00147,2024-10-22T08:49:00
MAP-0000280,ORG-0006,POL-000054,OBL-000184,Partially Covered,55,"Policy clause mentions trading risk control ownership, review cadence, and evidence retention.",Policy needs clearer wording for notify stakeholders when material incidents occur and evidence requirements.,0.885,Pending Review,USR-00090,2026-05-29T08:05:00
MAP-0000281,ORG-0006,POL-000056,OBL-000308,Fully Covered,90,"Policy clause mentions capital adequacy control ownership, review cadence, and evidence retention.",No major gap identified.,0.842,Pending Review,USR-00050,2024-09-15T17:52:00
MAP-0000282,ORG-0006,POL-000055,OBL-000558,Needs Human Review,56,"Policy clause mentions customer protection control ownership, review cadence, and evidence retention.",Policy needs clearer wording for update the internal policy and maintain approval evidence and evidence requirements.,0.761,Accepted,USR-00054,2026-03-18T15:05:00
MAP-0000283,ORG-0006,POL-000061,OBL-000186,Needs Human Review,29,"Policy clause mentions trading risk control ownership, review cadence, and evidence retention.",Policy needs clearer wording for submit a compliance confirmation report to management and evidence requirements.,0.755,Pending Review,USR-00039,2024-11-14T11:10:00
MAP-0000284,ORG-0006,POL-000053,OBL-000610,Not Covered,44,"Policy clause mentions cybersecurity control ownership, review cadence, and evidence retention.",Policy needs clearer wording for perform periodic control testing and document exceptions and evidence requirements.,0.946,Accepted,USR-00036,2024-09-11T09:38:00
MAP-0000285,ORG-0006,POL-000062,OBL-000040,Fully Covered,85,"Policy clause mentions liquidity risk control ownership, review cadence, and evidence retention.",No major gap identified.,0.75,Accepted,USR-00047,2024-08-30T09:39:00
MAP-0000286,ORG-0006,POL-000052,OBL-000608,Fully Covered,92,"Policy clause mentions cybersecurity control ownership, review cadence, and evidence retention.",No major gap identified.,0.845,Rejected,USR-00113,2025-03-30T11:59:00
MAP-0000287,ORG-0006,POL-000061,OBL-000395,Partially Covered,58,"Policy clause mentions customer protection control ownership, review cadence, and evidence retention.",Policy needs clearer wording for update the internal policy and maintain approval evidence and evidence requirements.,0.633,Accepted,USR-00111,2025-08-12T13:13:00
MAP-0000288,ORG-0006,POL-000060,OBL-000607,Fully Covered,87,"Policy clause mentions cybersecurity control ownership, review cadence, and evidence retention.",No major gap identified.,0.775,Pending Review,USR-00078,2026-01-03T09:09:00
MAP-0000289,ORG-0006,POL-000056,OBL-000154,Fully Covered,84,"Policy clause mentions liquidity risk control ownership, review cadence, and evidence retention.",No major gap identified.,0.717,Pending Review,USR-00102,2026-04-20T16:08:00
MAP-0000290,ORG-0006,POL-000057,OBL-000150,Not Covered,36,"Policy clause mentions liquidity risk control ownership, review cadence, and evidence retention.",Policy needs clearer wording for validate system calculations against approved methodology and evidence requirements.,0.846,Rejected,USR-00039,2026-03-21T12:24:00
MAP-0000291,ORG-0006,POL-000054,OBL-000432,Fully Covered,88,"Policy clause mentions customer protection control ownership, review cadence, and evidence retention.",No major gap identified.,0.858,Accepted,USR-00090,2025-08-12T20:04:00
MAP-0000292,ORG-0006,POL-000062,OBL-000041,Fully Covered,88,"Policy clause mentions liquidity risk control ownership, review cadence, and evidence retention.",No major gap identified.,0.863,Accepted,USR-00089,2024-11-27T20:44:00
MAP-0000293,ORG-0006,POL-000061,OBL-000641,Fully Covered,82,"Policy clause mentions kyc/aml control ownership, review cadence, and evidence retention.",No major gap identified.,0.884,Accepted,USR-00117,2024-11-17T10:17:00
MAP-0000294,ORG-0006,POL-000055,OBL-000496,Fully Covered,93,"Policy clause mentions customer protection control ownership, review cadence, and evidence retention.",No major gap identified.,0.807,Accepted,USR-00100,2025-05-29T20:59:00
MAP-0000295,ORG-0006,POL-000054,OBL-000319,Fully Covered,82,"Policy clause mentions outsourcing control ownership, review cadence, and evidence retention.",No major gap identified.,0.708,Accepted,USR-00040,2024-08-14T10:30:00
MAP-0000296,ORG-0006,POL-000052,OBL-000477,Fully Covered,93,"Policy clause mentions liquidity risk control ownership, review cadence, and evidence retention.",No major gap identified.,0.829,Accepted,USR-00143,2025-12-07T12:03:00
MAP-0000297,ORG-0006,POL-000054,OBL-000338,Partially Covered,48,"Policy clause mentions customer protection control ownership, review cadence, and evidence retention.",Policy needs clearer wording for validate system calculations against approved methodology and evidence requirements.,0.771,Pending Review,USR-00022,2025-10-03T14:55:00
MAP-0000298,ORG-0006,POL-000061,OBL-000490,Fully Covered,89,"Policy clause mentions data privacy control ownership, review cadence, and evidence retention.",No major gap identified.,0.664,Pending Review,USR-00136,2026-05-15T09:21:00
MAP-0000299,ORG-0006,POL-000057,OBL-000221,Fully Covered,87,"Policy clause mentions cybersecurity control ownership, review cadence, and evidence retention.",No major gap identified.,0.901,Pending Review,USR-00002,2025-03-03T19:45:00
MAP-0000300,ORG-0006,POL-000056,OBL-000731,Fully Covered,83,"Policy clause mentions disclosure control ownership, review cadence, and evidence retention.",No major gap identified.,0.662,Pending Review,USR-00104,2025-12-09T17:58:00
MAP-0000301,ORG-0006,POL-000062,OBL-000522,Fully Covered,95,"Policy clause mentions customer protection control ownership, review cadence, and evidence retention.",No major gap identified.,0.924,Accepted,USR-00017,2025-08-02T15:37:00
MAP-0000302,ORG-0006,POL-000062,OBL-000483,Partially Covered,67,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",Policy needs clearer wording for update the internal policy and maintain approval evidence and evidence requirements.,0.746,Accepted,USR-00045,2025-03-28T12:30:00
MAP-0000303,ORG-0006,POL-000053,OBL-000408,Fully Covered,90,"Policy clause mentions cybersecurity control ownership, review cadence, and evidence retention.",No major gap identified.,0.777,Accepted,USR-00012,2026-02-07T08:49:00
MAP-0000304,ORG-0006,POL-000053,OBL-000099,Partially Covered,77,"Policy clause mentions data privacy control ownership, review cadence, and evidence retention.",Policy needs clearer wording for validate system calculations against approved methodology and evidence requirements.,0.662,Accepted,USR-00106,2026-02-06T11:06:00
MAP-0000305,ORG-0006,POL-000059,OBL-000498,Fully Covered,84,"Policy clause mentions customer protection control ownership, review cadence, and evidence retention.",No major gap identified.,0.786,Accepted,USR-00011,2026-01-27T08:33:00
MAP-0000306,ORG-0006,POL-000053,OBL-000751,Not Covered,42,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",Policy needs clearer wording for notify stakeholders when material incidents occur and evidence requirements.,0.745,Accepted,USR-00008,2024-11-06T13:45:00
MAP-0000307,ORG-0006,POL-000052,OBL-000484,Fully Covered,88,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",No major gap identified.,0.793,Accepted,USR-00027,2025-03-28T08:29:00
MAP-0000308,ORG-0006,POL-000055,OBL-000435,Fully Covered,83,"Policy clause mentions kyc/aml control ownership, review cadence, and evidence retention.",No major gap identified.,0.896,Accepted,USR-00136,2025-04-27T15:19:00
MAP-0000309,ORG-0006,POL-000055,OBL-000636,Not Covered,11,"Policy clause mentions disclosure control ownership, review cadence, and evidence retention.",Policy needs clearer wording for review customer or transaction risk indicators and evidence requirements.,0.659,Accepted,USR-00005,2026-02-17T14:11:00
MAP-0000310,ORG-0006,POL-000057,OBL-000637,Partially Covered,78,"Policy clause mentions disclosure control ownership, review cadence, and evidence retention.",Policy needs clearer wording for submit a compliance confirmation report to management and evidence requirements.,0.85,Accepted,USR-00110,2026-03-21T12:31:00
MAP-0000311,ORG-0006,POL-000052,OBL-000482,Fully Covered,82,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",No major gap identified.,0.733,Rejected,USR-00052,2026-04-01T14:10:00
MAP-0000312,ORG-0007,POL-000063,OBL-000420,Fully Covered,98,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",No major gap identified.,0.633,Accepted,USR-00128,2025-08-27T20:38:00
MAP-0000313,ORG-0007,POL-000071,OBL-000284,Needs Human Review,60,"Policy clause mentions liquidity risk control ownership, review cadence, and evidence retention.",Policy needs clearer wording for monitor threshold breaches and escalate unresolved cases and evidence requirements.,0.696,Accepted,USR-00119,2026-03-15T15:43:00
MAP-0000314,ORG-0007,POL-000064,OBL-000419,Not Covered,24,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",Policy needs clearer wording for review customer or transaction risk indicators and evidence requirements.,0.825,Pending Review,USR-00027,2025-09-12T14:06:00
MAP-0000315,ORG-0007,POL-000065,OBL-000386,Fully Covered,91,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",No major gap identified.,0.944,Accepted,USR-00147,2025-04-17T11:14:00
MAP-0000316,ORG-0007,POL-000065,OBL-000739,Partially Covered,72,"Policy clause mentions trading risk control ownership, review cadence, and evidence retention.",Policy needs clearer wording for perform periodic control testing and document exceptions and evidence requirements.,0.682,Pending Review,USR-00132,2026-06-04T17:38:00
MAP-0000317,ORG-0007,POL-000067,OBL-000164,Partially Covered,52,"Policy clause mentions cybersecurity control ownership, review cadence, and evidence retention.",Policy needs clearer wording for notify stakeholders when material incidents occur and evidence requirements.,0.959,Accepted,USR-00004,2024-09-25T19:52:00
MAP-0000318,ORG-0007,POL-000067,OBL-000087,Fully Covered,95,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",No major gap identified.,0.908,Rejected,USR-00036,2024-08-14T11:29:00
MAP-0000319,ORG-0007,POL-000063,OBL-000352,Partially Covered,79,"Policy clause mentions kyc/aml control ownership, review cadence, and evidence retention.",Policy needs clearer wording for submit a compliance confirmation report to management and evidence requirements.,0.907,Accepted,USR-00106,2024-09-13T10:42:00
MAP-0000320,ORG-0007,POL-000063,OBL-000540,Partially Covered,61,"Policy clause mentions trading risk control ownership, review cadence, and evidence retention.",Policy needs clearer wording for update the internal policy and maintain approval evidence and evidence requirements.,0.652,Rejected,USR-00140,2024-10-12T11:23:00
MAP-0000321,ORG-0007,POL-000072,OBL-000081,Partially Covered,77,"Policy clause mentions cybersecurity control ownership, review cadence, and evidence retention.",Policy needs clearer wording for retain supporting records for audit and supervisory review and evidence requirements.,0.921,Pending Review,USR-00115,2024-12-16T09:05:00
MAP-0000322,ORG-0007,POL-000070,OBL-000456,Needs Human Review,66,"Policy clause mentions outsourcing control ownership, review cadence, and evidence retention.",Policy needs clearer wording for monitor threshold breaches and escalate unresolved cases and evidence requirements.,0.904,Accepted,USR-00075,2026-05-27T16:01:00
MAP-0000323,ORG-0007,POL-000064,OBL-000229,Needs Human Review,45,"Policy clause mentions data privacy control ownership, review cadence, and evidence retention.",Policy needs clearer wording for submit a compliance confirmation report to management and evidence requirements.,0.924,Accepted,USR-00036,2024-12-30T20:07:00
MAP-0000324,ORG-0007,POL-000070,OBL-000162,Needs Human Review,42,"Policy clause mentions cybersecurity control ownership, review cadence, and evidence retention.",Policy needs clearer wording for retain supporting records for audit and supervisory review and evidence requirements.,0.797,Pending Review,USR-00060,2026-02-23T15:32:00
MAP-0000325,ORG-0007,POL-000068,OBL-000441,Fully Covered,82,"Policy clause mentions customer protection control ownership, review cadence, and evidence retention.",No major gap identified.,0.803,Accepted,USR-00007,2025-04-10T16:02:00
MAP-0000326,ORG-0007,POL-000069,OBL-000021,Fully Covered,97,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",No major gap identified.,0.847,Pending Review,USR-00047,2025-01-28T14:36:00
MAP-0000327,ORG-0007,POL-000064,OBL-000077,Fully Covered,94,"Policy clause mentions disclosure control ownership, review cadence, and evidence retention.",No major gap identified.,0.651,Pending Review,USR-00022,2024-12-27T16:57:00
MAP-0000328,ORG-0007,POL-000070,OBL-000080,Partially Covered,62,"Policy clause mentions cybersecurity control ownership, review cadence, and evidence retention.",Policy needs clearer wording for validate system calculations against approved methodology and evidence requirements.,0.889,Accepted,USR-00109,2026-02-12T16:09:00
MAP-0000329,ORG-0007,POL-000070,OBL-000286,Partially Covered,70,"Policy clause mentions liquidity risk control ownership, review cadence, and evidence retention.",Policy needs clearer wording for perform periodic control testing and document exceptions and evidence requirements.,0.817,Rejected,USR-00123,2026-05-30T18:03:00
MAP-0000330,ORG-0007,POL-000067,OBL-000402,Fully Covered,93,"Policy clause mentions trading risk control ownership, review cadence, and evidence retention.",No major gap identified.,0.698,Accepted,USR-00023,2026-03-05T14:07:00
MAP-0000331,ORG-0007,POL-000068,OBL-000409,Fully Covered,97,"Policy clause mentions capital adequacy control ownership, review cadence, and evidence retention.",No major gap identified.,0.926,Pending Review,USR-00046,2025-11-30T12:43:00
MAP-0000332,ORG-0007,POL-000071,OBL-000410,Partially Covered,66,"Policy clause mentions capital adequacy control ownership, review cadence, and evidence retention.",Policy needs clearer wording for notify stakeholders when material incidents occur and evidence requirements.,0.866,Accepted,USR-00118,2026-03-05T20:54:00
MAP-0000333,ORG-0007,POL-000069,OBL-000089,Fully Covered,83,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",No major gap identified.,0.921,Rejected,USR-00073,2026-04-04T14:24:00
MAP-0000334,ORG-0007,POL-000071,OBL-000327,Fully Covered,90,"Policy clause mentions data privacy control ownership, review cadence, and evidence retention.",No major gap identified.,0.938,Accepted,USR-00069,2025-10-25T16:19:00
MAP-0000335,ORG-0007,POL-000065,OBL-000343,Fully Covered,82,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",No major gap identified.,0.672,Accepted,USR-00099,2024-12-11T10:59:00
MAP-0000336,ORG-0007,POL-000068,OBL-000022,Partially Covered,60,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",Policy needs clearer wording for notify stakeholders when material incidents occur and evidence requirements.,0.901,Accepted,USR-00139,2026-01-29T10:00:00
MAP-0000337,ORG-0007,POL-000071,OBL-000717,Needs Human Review,70,"Policy clause mentions cybersecurity control ownership, review cadence, and evidence retention.",Policy needs clearer wording for validate system calculations against approved methodology and evidence requirements.,0.885,Accepted,USR-00103,2026-01-15T19:32:00
MAP-0000338,ORG-0007,POL-000066,OBL-000096,Partially Covered,72,"Policy clause mentions capital adequacy control ownership, review cadence, and evidence retention.",Policy needs clearer wording for retain supporting records for audit and supervisory review and evidence requirements.,0.667,Accepted,USR-00123,2024-12-20T20:33:00
MAP-0000339,ORG-0007,POL-000070,OBL-000079,Partially Covered,49,"Policy clause mentions disclosure control ownership, review cadence, and evidence retention.",Policy needs clearer wording for update the internal policy and maintain approval evidence and evidence requirements.,0.764,Pending Review,USR-00017,2024-10-18T12:04:00
MAP-0000340,ORG-0007,POL-000066,OBL-000421,Needs Human Review,27,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",Policy needs clearer wording for review customer or transaction risk indicators and evidence requirements.,0.819,Pending Review,USR-00064,2025-07-20T18:48:00
MAP-0000341,ORG-0007,POL-000072,OBL-000448,Partially Covered,55,"Policy clause mentions capital adequacy control ownership, review cadence, and evidence retention.",Policy needs clearer wording for validate system calculations against approved methodology and evidence requirements.,0.96,Pending Review,USR-00105,2024-11-06T11:13:00
MAP-0000342,ORG-0007,POL-000070,OBL-000425,Partially Covered,45,"Policy clause mentions incident management control ownership, review cadence, and evidence retention.",Policy needs clearer wording for monitor threshold breaches and escalate unresolved cases and evidence requirements.,0.736,Rejected,USR-00012,2025-04-05T13:35:00
MAP-0000343,ORG-0007,POL-000071,OBL-000097,Fully Covered,92,"Policy clause mentions capital adequacy control ownership, review cadence, and evidence retention.",No major gap identified.,0.885,Pending Review,USR-00043,2025-07-22T12:48:00
MAP-0000344,ORG-0007,POL-000067,OBL-000748,Fully Covered,90,"Policy clause mentions customer protection control ownership, review cadence, and evidence retention.",No major gap identified.,0.662,Accepted,USR-00082,2026-05-15T08:55:00
MAP-0000345,ORG-0007,POL-000066,OBL-000623,Partially Covered,62,"Policy clause mentions operational resilience control ownership, review cadence, and evidence retention.",Policy needs clearer wording for monitor threshold breaches and escalate unresolved cases and evidence requirements.,0.63,Accepted,USR-00103,2024-09-21T15:48:00
MAP-0000346,ORG-0007,POL-000070,OBL-000020,Not Covered,4,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",Policy needs clearer wording for retain supporting records for audit and supervisory review and evidence requirements.,0.883,Accepted,USR-00067,2026-03-19T16:36:00
MAP-0000347,ORG-0007,POL-000071,OBL-000383,Partially Covered,79,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",Policy needs clearer wording for perform periodic control testing and document exceptions and evidence requirements.,0.804,Rejected,USR-00001,2025-09-02T15:53:00
MAP-0000348,ORG-0007,POL-000071,OBL-000342,Fully Covered,90,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",No major gap identified.,0.647,Accepted,USR-00133,2024-11-03T20:14:00
MAP-0000349,ORG-0007,POL-000068,OBL-000098,Partially Covered,70,"Policy clause mentions capital adequacy control ownership, review cadence, and evidence retention.",Policy needs clearer wording for update the internal policy and maintain approval evidence and evidence requirements.,0.833,Rejected,USR-00140,2025-09-24T17:42:00
MAP-0000350,ORG-0007,POL-000071,OBL-000325,Partially Covered,60,"Policy clause mentions data privacy control ownership, review cadence, and evidence retention.",Policy needs clearer wording for update the internal policy and maintain approval evidence and evidence requirements.,0.858,Accepted,USR-00141,2025-10-12T12:59:00
MAP-0000351,ORG-0007,POL-000071,OBL-000451,Fully Covered,91,"Policy clause mentions capital adequacy control ownership, review cadence, and evidence retention.",No major gap identified.,0.854,Pending Review,USR-00084,2025-07-02T17:16:00
MAP-0000352,ORG-0007,POL-000068,OBL-000621,Not Covered,3,"Policy clause mentions operational resilience control ownership, review cadence, and evidence retention.",Policy needs clearer wording for review customer or transaction risk indicators and evidence requirements.,0.658,Pending Review,USR-00047,2024-09-16T18:49:00
MAP-0000353,ORG-0007,POL-000070,OBL-000385,Needs Human Review,35,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",Policy needs clearer wording for retain supporting records for audit and supervisory review and evidence requirements.,0.857,Accepted,USR-00012,2025-07-13T09:04:00
MAP-0000354,ORG-0007,POL-000070,OBL-000287,Fully Covered,83,"Policy clause mentions liquidity risk control ownership, review cadence, and evidence retention.",No major gap identified.,0.697,Accepted,USR-00143,2025-08-27T11:26:00
MAP-0000355,ORG-0007,POL-000068,OBL-000449,Fully Covered,86,"Policy clause mentions capital adequacy control ownership, review cadence, and evidence retention.",No major gap identified.,0.654,Accepted,USR-00084,2025-08-04T17:03:00
MAP-0000356,ORG-0007,POL-000069,OBL-000403,Fully Covered,83,"Policy clause mentions trading risk control ownership, review cadence, and evidence retention.",No major gap identified.,0.628,Pending Review,USR-00147,2025-05-23T20:08:00
