example_id,utterance,intent_label,entities_json,split
INT-000142,Who should own Liquidity Risk remediation?,assign_owner,"{""category"": ""Trading Risk"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0018"", ""obligation_id"": ""OBL-000011""}",train
INT-000143,Give executive summary for NPCI circular,summarize_circular,"{""category"": ""Customer Protection"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0018"", ""obligation_id"": ""OBL-000620""}",test
INT-000144,Why is ORG-0005 high risk?,explain_risk_score,"{""category"": ""Incident Management"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0005"", ""obligation_id"": ""OBL-000051""}",train
INT-000145,Assign this finding to Legal,assign_owner,"{""category"": ""Incident Management"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0007"", ""obligation_id"": ""OBL-000410""}",validation
INT-000146,What is the main point of CIR-00163?,summarize_circular,"{""category"": ""Cybersecurity"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0004"", ""obligation_id"": ""OBL-000222""}",validation
INT-000147,What changed from old requirement to new requirement?,compare_policy_versions,"{""category"": ""Incident Management"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0015"", ""obligation_id"": ""OBL-000062""}",test
INT-000148,Give me action plan for non-compliant obligations,create_remediation_plan,"{""category"": ""Outsourcing"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0013"", ""obligation_id"": ""OBL-000309""}",train
INT-000149,What obligations are in circular CIR-00154?,extract_obligations,"{""category"": ""Liquidity Risk"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0013"", ""obligation_id"": ""OBL-000494""}",train
INT-000150,Show obligations due in 30 days,deadline_query,"{""category"": ""Incident Management"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0009"", ""obligation_id"": ""OBL-000575""}",validation
INT-000151,Tell me what we must do for Incident Management,extract_obligations,"{""category"": ""Data Privacy"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0016"", ""obligation_id"": ""OBL-000412""}",train
INT-000152,List recent LLM review events,show_audit_trail,"{""category"": ""Customer Protection"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0001"", ""obligation_id"": ""OBL-000746""}",train
INT-000153,Show drift for POL-000016,compare_policy_versions,"{""category"": ""Audit & Reporting"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0002"", ""obligation_id"": ""OBL-000301""}",train
INT-000154,Explain the risk score for ORG-0002,explain_risk_score,"{""category"": ""Operational Resilience"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0002"", ""obligation_id"": ""OBL-000659""}",validation
INT-000155,Find gaps for Business Continuity and Resilience Policy,check_policy_gap,"{""category"": ""Audit & Reporting"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0006"", ""obligation_id"": ""OBL-000703""}",train
INT-000156,What changed from old requirement to new requirement?,compare_policy_versions,"{""category"": ""Capital Adequacy"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0029"", ""obligation_id"": ""OBL-000082""}",train
INT-000157,Assign this finding to Trading Desk,assign_owner,"{""category"": ""Incident Management"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0004"", ""obligation_id"": ""OBL-000226""}",test
INT-000158,Compare policy POL-000215 with new circular CIR-00011,compare_policy_versions,"{""category"": ""Disclosure"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0022"", ""obligation_id"": ""OBL-000333""}",train
INT-000159,Which circular talks about Audit & Reporting risk?,search_circular,"{""category"": ""Outsourcing"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0021"", ""obligation_id"": ""OBL-000258""}",train
INT-000160,Export risk report for this month,generate_report,"{""category"": ""Incident Management"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0008"", ""obligation_id"": ""OBL-000399""}",train
INT-000161,Compare policy POL-000120 with new circular CIR-00175,compare_policy_versions,"{""category"": ""Cybersecurity"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0012"", ""obligation_id"": ""OBL-000407""}",train
INT-000162,Give executive summary for SEBI circular,summarize_circular,"{""category"": ""Trading Risk"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0022"", ""obligation_id"": ""OBL-000129""}",validation
INT-000163,Generate compliance report for ORG-0013,generate_report,"{""category"": ""Data Privacy"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0013"", ""obligation_id"": ""OBL-000034""}",train
INT-000164,Why is OBL-000457 marked partial?,check_policy_gap,"{""category"": ""Cybersecurity"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0022"", ""obligation_id"": ""OBL-000457""}",train
INT-000165,List recent LLM review events,show_audit_trail,"{""category"": ""Outsourcing"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0009"", ""obligation_id"": ""OBL-000363""}",train
INT-000166,Show audit trail for MAP-0000278,show_audit_trail,"{""category"": ""Cybersecurity"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0019"", ""obligation_id"": ""OBL-000663""}",train
INT-000167,What is the main point of CIR-00049?,summarize_circular,"{""category"": ""Customer Protection"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0026"", ""obligation_id"": ""OBL-000756""}",train
INT-000168,Find latest SEBI requirements for Data Privacy,search_circular,"{""category"": ""Operational Resilience"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0025"", ""obligation_id"": ""OBL-000100""}",train
INT-000169,Generate compliance report for ORG-0029,generate_report,"{""category"": ""Cybersecurity"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0029"", ""obligation_id"": ""OBL-000430""}",train
INT-000170,Give executive summary for NPCI circular,summarize_circular,"{""category"": ""Customer Protection"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0027"", ""obligation_id"": ""OBL-000754""}",train
INT-000171,Show drift for POL-000181,compare_policy_versions,"{""category"": ""Customer Protection"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0018"", ""obligation_id"": ""OBL-000340""}",train
INT-000172,Summarize CIR-00089 in simple words,summarize_circular,"{""category"": ""Customer Protection"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0026"", ""obligation_id"": ""OBL-000459""}",validation
INT-000173,How do I fix Outsourcing gaps?,create_remediation_plan,"{""category"": ""Cybersecurity"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0029"", ""obligation_id"": ""OBL-000299""}",validation
INT-000174,Extract action items from CIR-00163,extract_obligations,"{""category"": ""Cybersecurity"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0015"", ""obligation_id"": ""OBL-000110""}",validation
INT-000175,Why is OBL-000515 marked partial?,check_policy_gap,"{""category"": ""Incident Management"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0026"", ""obligation_id"": ""OBL-000515""}",train
INT-000176,Show obligations due in 30 days,deadline_query,"{""category"": ""Capital Adequacy"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0011"", ""obligation_id"": ""OBL-000492""}",train
INT-000177,Is our policy covering obligation OBL-000144?,check_policy_gap,"{""category"": ""Disclosure"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0019"", ""obligation_id"": ""OBL-000144""}",train
INT-000178,Explain the risk score for ORG-0024,explain_risk_score,"{""category"": ""Customer Protection"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0024"", ""obligation_id"": ""OBL-000062""}",validation
INT-000179,Compare policy POL-000292 with new circular CIR-00111,compare_policy_versions,"{""category"": ""Trading Risk"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0029"", ""obligation_id"": ""OBL-000574""}",train
INT-000180,Which circular talks about Data Privacy risk?,search_circular,"{""category"": ""Liquidity Risk"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0010"", ""obligation_id"": ""OBL-000106""}",train
INT-000181,Show audit trail for MAP-0000725,show_audit_trail,"{""category"": ""Operational Resilience"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0003"", ""obligation_id"": ""OBL-000131""}",train
INT-000182,What is the main point of CIR-00123?,summarize_circular,"{""category"": ""Cybersecurity"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0012"", ""obligation_id"": ""OBL-000040""}",train
INT-000183,Give me action plan for non-compliant obligations,create_remediation_plan,"{""category"": ""Cybersecurity"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0015"", ""obligation_id"": ""OBL-000374""}",test
INT-000184,Who approved this mapping?,show_audit_trail,"{""category"": ""Disclosure"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0023"", ""obligation_id"": ""OBL-000548""}",test
INT-000185,List recent LLM review events,show_audit_trail,"{""category"": ""Cybersecurity"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0016"", ""obligation_id"": ""OBL-000269""}",test
INT-000186,Summarize CIR-00160 in simple words,summarize_circular,"{""category"": ""Audit & Reporting"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0018"", ""obligation_id"": ""OBL-000011""}",train
INT-000187,Summarize CIR-00174 in simple words,summarize_circular,"{""category"": ""Operational Resilience"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0002"", ""obligation_id"": ""OBL-000366""}",train
INT-000188,Extract action items from CIR-00162,extract_obligations,"{""category"": ""Cybersecurity"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0027"", ""obligation_id"": ""OBL-000211""}",train
INT-000189,What is the main point of CIR-00088?,summarize_circular,"{""category"": ""KYC/AML"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0023"", ""obligation_id"": ""OBL-000230""}",train
INT-000190,Create remediation steps for finding FND-000539,create_remediation_plan,"{""category"": ""KYC/AML"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0021"", ""obligation_id"": ""OBL-000691""}",test
INT-000191,What is the main point of CIR-00199?,summarize_circular,"{""category"": ""Cybersecurity"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0010"", ""obligation_id"": ""OBL-000092""}",test
INT-000192,What factors increased our compliance risk?,explain_risk_score,"{""category"": ""Cybersecurity"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0012"", ""obligation_id"": ""OBL-000337""}",train
INT-000193,What changed from old requirement to new requirement?,compare_policy_versions,"{""category"": ""Incident Management"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0018"", ""obligation_id"": ""OBL-000131""}",validation
INT-000194,Export risk report for this month,generate_report,"{""category"": ""Customer Protection"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0019"", ""obligation_id"": ""OBL-000007""}",train
INT-000195,Give me action plan for non-compliant obligations,create_remediation_plan,"{""category"": ""Disclosure"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0011"", ""obligation_id"": ""OBL-000548""}",train
INT-000196,Which circular deadlines are overdue?,deadline_query,"{""category"": ""Audit & Reporting"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0012"", ""obligation_id"": ""OBL-000726""}",train
INT-000197,Show audit trail for MAP-0000790,show_audit_trail,"{""category"": ""Trading Risk"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0030"", ""obligation_id"": ""OBL-000051""}",validation
INT-000198,Tell me what we must do for Cybersecurity,extract_obligations,"{""category"": ""Incident Management"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0021"", ""obligation_id"": ""OBL-000444""}",train
INT-000199,Set owner for obligation OBL-000146,assign_owner,"{""category"": ""Customer Protection"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0020"", ""obligation_id"": ""OBL-000146""}",train
INT-000200,Find gaps for Capital Adequacy Monitoring Policy,check_policy_gap,"{""category"": ""Cybersecurity"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0013"", ""obligation_id"": ""OBL-000636""}",train
INT-000201,What changed from old requirement to new requirement?,compare_policy_versions,"{""category"": ""Cybersecurity"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0011"", ""obligation_id"": ""OBL-000262""}",validation
INT-000202,Show audit trail for MAP-0000009,show_audit_trail,"{""category"": ""Disclosure"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0010"", ""obligation_id"": ""OBL-000375""}",train
INT-000203,Show drift for POL-000297,compare_policy_versions,"{""category"": ""Cybersecurity"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0029"", ""obligation_id"": ""OBL-000084""}",train
INT-000204,Show missing evidence for Capital Adequacy,show_evidence_status,"{""category"": ""Liquidity Risk"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0004"", ""obligation_id"": ""OBL-000255""}",validation
INT-000205,List recent LLM review events,show_audit_trail,"{""category"": ""Cybersecurity"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0003"", ""obligation_id"": ""OBL-000691""}",validation
INT-000206,Find latest NPCI requirements for KYC/AML,search_circular,"{""category"": ""KYC/AML"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0003"", ""obligation_id"": ""OBL-000100""}",validation
INT-000207,Which circular deadlines are overdue?,deadline_query,"{""category"": ""Incident Management"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0024"", ""obligation_id"": ""OBL-000403""}",train
INT-000208,Export risk report for this month,generate_report,"{""category"": ""Liquidity Risk"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0029"", ""obligation_id"": ""OBL-000545""}",train
INT-000209,What obligations are in circular CIR-00152?,extract_obligations,"{""category"": ""Cybersecurity"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0020"", ""obligation_id"": ""OBL-000427""}",train
INT-000210,Show audit trail for MAP-0000740,show_audit_trail,"{""category"": ""Outsourcing"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0016"", ""obligation_id"": ""OBL-000069""}",train
INT-000211,Give executive summary for MOF circular,summarize_circular,"{""category"": ""Liquidity Risk"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0008"", ""obligation_id"": ""OBL-000278""}",test
INT-000212,Show obligations due in 30 days,deadline_query,"{""category"": ""Incident Management"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0026"", ""obligation_id"": ""OBL-000570""}",train
INT-000213,Who should own Trading Risk remediation?,assign_owner,"{""category"": ""Liquidity Risk"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0006"", ""obligation_id"": ""OBL-000641""}",validation
INT-000214,Give me action plan for non-compliant obligations,create_remediation_plan,"{""category"": ""Disclosure"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0005"", ""obligation_id"": ""OBL-000379""}",train
INT-000215,Set owner for obligation OBL-000012,assign_owner,"{""category"": ""Incident Management"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0010"", ""obligation_id"": ""OBL-000012""}",train
INT-000216,Which evidence is rejected for ORG-0028?,show_evidence_status,"{""category"": ""KYC/AML"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0028"", ""obligation_id"": ""OBL-000490""}",train
INT-000217,Why is ORG-0029 high risk?,explain_risk_score,"{""category"": ""Cybersecurity"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0029"", ""obligation_id"": ""OBL-000409""}",train
INT-000218,Find latest SEBI requirements for Capital Adequacy,search_circular,"{""category"": ""Data Privacy"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0022"", ""obligation_id"": ""OBL-000627""}",train
INT-000219,What factors increased our compliance risk?,explain_risk_score,"{""category"": ""Cybersecurity"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0005"", ""obligation_id"": ""OBL-000610""}",validation
INT-000220,Which circular deadlines are overdue?,deadline_query,"{""category"": ""KYC/AML"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0014"", ""obligation_id"": ""OBL-000587""}",train
INT-000221,Do we have proof for obligation OBL-000739?,show_evidence_status,"{""category"": ""Customer Protection"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0015"", ""obligation_id"": ""OBL-000739""}",test
INT-000222,Find latest MOF requirements for Capital Adequacy,search_circular,"{""category"": ""Cybersecurity"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0025"", ""obligation_id"": ""OBL-000357""}",train
INT-000223,Which evidence is rejected for ORG-0027?,show_evidence_status,"{""category"": ""Audit & Reporting"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0027"", ""obligation_id"": ""OBL-000382""}",train
INT-000224,What obligations are in circular CIR-00022?,extract_obligations,"{""category"": ""Disclosure"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0029"", ""obligation_id"": ""OBL-000629""}",train
INT-000225,Do we have proof for obligation OBL-000464?,show_evidence_status,"{""category"": ""Cybersecurity"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0002"", ""obligation_id"": ""OBL-000464""}",train
INT-000226,What is the main point of CIR-00135?,summarize_circular,"{""category"": ""Trading Risk"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0029"", ""obligation_id"": ""OBL-000052""}",train
INT-000227,Create remediation steps for finding FND-000506,create_remediation_plan,"{""category"": ""Trading Risk"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0009"", ""obligation_id"": ""OBL-000412""}",test
INT-000228,What obligations are in circular CIR-00186?,extract_obligations,"{""category"": ""Data Privacy"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0029"", ""obligation_id"": ""OBL-000298""}",train
INT-000229,Extract action items from CIR-00161,extract_obligations,"{""category"": ""Customer Protection"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0025"", ""obligation_id"": ""OBL-000082""}",validation
INT-000230,Extract action items from CIR-00207,extract_obligations,"{""category"": ""Outsourcing"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0012"", ""obligation_id"": ""OBL-000064""}",validation
INT-000231,Show obligations due in 30 days,deadline_query,"{""category"": ""Cybersecurity"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0015"", ""obligation_id"": ""OBL-000010""}",train
INT-000232,What factors increased our compliance risk?,explain_risk_score,"{""category"": ""Liquidity Risk"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0005"", ""obligation_id"": ""OBL-000552""}",train
INT-000233,Create remediation steps for finding FND-000043,create_remediation_plan,"{""category"": ""Data Privacy"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0010"", ""obligation_id"": ""OBL-000560""}",train
INT-000234,Show drift for POL-000130,compare_policy_versions,"{""category"": ""Customer Protection"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0013"", ""obligation_id"": ""OBL-000707""}",train
INT-000235,Find latest NPCI requirements for Trading Risk,search_circular,"{""category"": ""Audit & Reporting"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0030"", ""obligation_id"": ""OBL-000420""}",validation
INT-000236,Find gaps for Access Control and Review Policy,check_policy_gap,"{""category"": ""Outsourcing"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0005"", ""obligation_id"": ""OBL-000367""}",train
INT-000237,Do we have proof for obligation OBL-000326?,show_evidence_status,"{""category"": ""Disclosure"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0001"", ""obligation_id"": ""OBL-000326""}",train
INT-000238,Show obligations due in 30 days,deadline_query,"{""category"": ""Audit & Reporting"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0024"", ""obligation_id"": ""OBL-000206""}",train
INT-000239,Assign this finding to Audit,assign_owner,"{""category"": ""Trading Risk"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0020"", ""obligation_id"": ""OBL-000634""}",train
INT-000240,Show missing evidence for Capital Adequacy,show_evidence_status,"{""category"": ""Incident Management"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0013"", ""obligation_id"": ""OBL-000442""}",train
INT-000241,What factors increased our compliance risk?,explain_risk_score,"{""category"": ""Data Privacy"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0027"", ""obligation_id"": ""OBL-000121""}",validation
INT-000242,What factors increased our compliance risk?,explain_risk_score,"{""category"": ""Outsourcing"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0019"", ""obligation_id"": ""OBL-000612""}",validation
INT-000243,Export risk report for this month,generate_report,"{""category"": ""Customer Protection"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0015"", ""obligation_id"": ""OBL-000560""}",train
INT-000244,Tell me what we must do for Cybersecurity,extract_obligations,"{""category"": ""Audit & Reporting"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0010"", ""obligation_id"": ""OBL-000241""}",train
INT-000245,Do we have proof for obligation OBL-000675?,show_evidence_status,"{""category"": ""Disclosure"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0004"", ""obligation_id"": ""OBL-000675""}",train
INT-000246,What is the main point of CIR-00059?,summarize_circular,"{""category"": ""Cybersecurity"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0025"", ""obligation_id"": ""OBL-000409""}",test
INT-000247,Is our policy covering obligation OBL-000098?,check_policy_gap,"{""category"": ""Incident Management"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0009"", ""obligation_id"": ""OBL-000098""}",test
INT-000248,Explain the risk score for ORG-0021,explain_risk_score,"{""category"": ""Incident Management"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0021"", ""obligation_id"": ""OBL-000278""}",validation
INT-000249,Find gaps for Regulatory Reporting Policy,check_policy_gap,"{""category"": ""Outsourcing"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0013"", ""obligation_id"": ""OBL-000601""}",train
INT-000250,Show obligations due in 30 days,deadline_query,"{""category"": ""Customer Protection"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0002"", ""obligation_id"": ""OBL-000246""}",train
INT-000251,Give me action plan for non-compliant obligations,create_remediation_plan,"{""category"": ""Outsourcing"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0017"", ""obligation_id"": ""OBL-000486""}",validation
INT-000252,How do I fix Liquidity Risk gaps?,create_remediation_plan,"{""category"": ""Disclosure"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0023"", ""obligation_id"": ""OBL-000263""}",validation
INT-000253,Which circular talks about Operational Resilience risk?,search_circular,"{""category"": ""Cybersecurity"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0003"", ""obligation_id"": ""OBL-000279""}",train
INT-000254,Compare policy POL-000283 with new circular CIR-00023,compare_policy_versions,"{""category"": ""Cybersecurity"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0028"", ""obligation_id"": ""OBL-000008""}",train
INT-000255,Who approved this mapping?,show_audit_trail,"{""category"": ""Capital Adequacy"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0027"", ""obligation_id"": ""OBL-000544""}",train
INT-000256,Which circular talks about Outsourcing risk?,search_circular,"{""category"": ""Cybersecurity"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0001"", ""obligation_id"": ""OBL-000053""}",train
INT-000257,What obligations are in circular CIR-00045?,extract_obligations,"{""category"": ""Incident Management"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0011"", ""obligation_id"": ""OBL-000286""}",test
INT-000258,Find gaps for Disclosure and Investor Communication Policy,check_policy_gap,"{""category"": ""Trading Risk"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0005"", ""obligation_id"": ""OBL-000662""}",train
INT-000259,Which circular talks about Liquidity Risk risk?,search_circular,"{""category"": ""Cybersecurity"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0023"", ""obligation_id"": ""OBL-000642""}",validation
INT-000260,Give executive summary for RBI circular,summarize_circular,"{""category"": ""Outsourcing"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0025"", ""obligation_id"": ""OBL-000560""}",train
INT-000261,What factors increased our compliance risk?,explain_risk_score,"{""category"": ""KYC/AML"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0023"", ""obligation_id"": ""OBL-000353""}",train
INT-000262,List recent LLM review events,show_audit_trail,"{""category"": ""Data Privacy"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0024"", ""obligation_id"": ""OBL-000379""}",train
INT-000263,Who approved this mapping?,show_audit_trail,"{""category"": ""Cybersecurity"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0003"", ""obligation_id"": ""OBL-000100""}",train
INT-000264,Explain the risk score for ORG-0017,explain_risk_score,"{""category"": ""Cybersecurity"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0017"", ""obligation_id"": ""OBL-000275""}",test
INT-000265,Create remediation steps for finding FND-000174,create_remediation_plan,"{""category"": ""Trading Risk"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0008"", ""obligation_id"": ""OBL-000070""}",train
INT-000266,Tell me what we must do for Capital Adequacy,extract_obligations,"{""category"": ""Disclosure"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0010"", ""obligation_id"": ""OBL-000752""}",validation
INT-000267,How do I fix Trading Risk gaps?,create_remediation_plan,"{""category"": ""Capital Adequacy"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0010"", ""obligation_id"": ""OBL-000349""}",train
INT-000268,Show audit trail for MAP-0000767,show_audit_trail,"{""category"": ""Cybersecurity"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0016"", ""obligation_id"": ""OBL-000428""}",train
INT-000269,Is our policy covering obligation OBL-000208?,check_policy_gap,"{""category"": ""Cybersecurity"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0027"", ""obligation_id"": ""OBL-000208""}",test
INT-000270,Create remediation steps for finding FND-000161,create_remediation_plan,"{""category"": ""Customer Protection"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0028"", ""obligation_id"": ""OBL-000669""}",train
INT-000271,Why is OBL-000696 marked partial?,check_policy_gap,"{""category"": ""Cybersecurity"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0025"", ""obligation_id"": ""OBL-000696""}",train
INT-000272,Why is OBL-000643 marked partial?,check_policy_gap,"{""category"": ""Customer Protection"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0011"", ""obligation_id"": ""OBL-000643""}",validation
INT-000273,Export risk report for this month,generate_report,"{""category"": ""Liquidity Risk"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0014"", ""obligation_id"": ""OBL-000149""}",train
INT-000274,Find latest FIU-IND requirements for Incident Management,search_circular,"{""category"": ""Customer Protection"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0020"", ""obligation_id"": ""OBL-000357""}",train
INT-000275,Extract action items from CIR-00183,extract_obligations,"{""category"": ""KYC/AML"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0010"", ""obligation_id"": ""OBL-000131""}",train
INT-000276,Tell me what we must do for Outsourcing,extract_obligations,"{""category"": ""Customer Protection"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0015"", ""obligation_id"": ""OBL-000728""}",train
INT-000277,Set owner for obligation OBL-000535,assign_owner,"{""category"": ""Liquidity Risk"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0027"", ""obligation_id"": ""OBL-000535""}",train
INT-000278,Generate compliance report for ORG-0012,generate_report,"{""category"": ""Outsourcing"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0012"", ""obligation_id"": ""OBL-000232""}",test
INT-000279,Compare policy POL-000174 with new circular CIR-00046,compare_policy_versions,"{""category"": ""KYC/AML"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0017"", ""obligation_id"": ""OBL-000412""}",train
INT-000280,Show audit trail for MAP-0000638,show_audit_trail,"{""category"": ""Trading Risk"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0002"", ""obligation_id"": ""OBL-000669""}",train
INT-000281,Set owner for obligation OBL-000169,assign_owner,"{""category"": ""Disclosure"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0004"", ""obligation_id"": ""OBL-000169""}",train
