policy_id,org_id,policy_title,department,owner_role,version,effective_from,last_updated_at,next_review_date,status,policy_text,tags
POL-000071,ORG-0007,Business Continuity and Resilience Policy,Compliance,Operations Lead,3.0,2024-08-14,2024-11-04T13:45:00,2025-07-24,Approved,"Business Continuity and Resilience Policy for Veda Payments 7 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Compliance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Liquidity Risk,Data Privacy"
POL-000072,ORG-0007,Trading Limit and Surveillance Policy,Security,Data Protection Officer,5.0,2025-05-01,2025-08-05T12:09:00,2026-08-04,Pending Review,"Trading Limit and Surveillance Policy for Veda Payments 7 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Security team. Controls must be reviewed, documented, and approved according to internal governance standards.","Data Privacy,Liquidity Risk"
POL-000073,ORG-0008,Third Party Risk Management Policy,Data Governance,ML Reviewer,3.0,2026-01-08,2026-04-23T16:25:00,2027-02-04,Approved,"Third Party Risk Management Policy for CapitalNest Capital 8 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to NBFC operations and is maintained by the Data Governance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Data Privacy,Capital Adequacy"
POL-000074,ORG-0008,Liquidity Risk Monitoring Policy,Audit,Operations Lead,2.0,2025-05-28,2025-08-12T13:24:00,2026-10-01,Expired,"Liquidity Risk Monitoring Policy for CapitalNest Capital 8 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to NBFC operations and is maintained by the Audit team. Controls must be reviewed, documented, and approved according to internal governance standards.","Incident Management,Data Privacy"
POL-000075,ORG-0008,Capital Adequacy Monitoring Policy,Trading Desk,Data Protection Officer,5.0,2024-06-28,2024-08-25T08:42:00,2025-04-10,Approved,"Capital Adequacy Monitoring Policy for CapitalNest Capital 8 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to NBFC operations and is maintained by the Trading Desk team. Controls must be reviewed, documented, and approved according to internal governance standards.","Trading Risk,Operational Resilience"
POL-000076,ORG-0008,Disclosure and Investor Communication Policy,Legal,Admin,2.0,2024-10-11,2025-01-28T19:50:00,2025-08-07,Approved,"Disclosure and Investor Communication Policy for CapitalNest Capital 8 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to NBFC operations and is maintained by the Legal team. Controls must be reviewed, documented, and approved according to internal governance standards.","Capital Adequacy,Customer Protection"
POL-000077,ORG-0008,Model Risk Governance Policy,Audit,Compliance Officer,4.0,2025-10-15,2026-02-09T19:54:00,2027-02-06,Approved,"Model Risk Governance Policy for CapitalNest Capital 8 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to NBFC operations and is maintained by the Audit team. Controls must be reviewed, documented, and approved according to internal governance standards.","Outsourcing,Operational Resilience"
POL-000078,ORG-0008,Data Retention and Privacy Policy,Data Governance,Compliance Officer,2.0,2025-11-11,2026-01-11T18:06:00,2026-10-31,Approved,"Data Retention and Privacy Policy for CapitalNest Capital 8 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to NBFC operations and is maintained by the Data Governance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Trading Risk,Outsourcing"
POL-000079,ORG-0008,KYC and Customer Due Diligence Policy,IT,Compliance Officer,5.0,2024-03-22,2024-05-28T17:33:00,2025-02-18,Approved,"KYC and Customer Due Diligence Policy for CapitalNest Capital 8 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to NBFC operations and is maintained by the IT team. Controls must be reviewed, documented, and approved according to internal governance standards.","Liquidity Risk,Data Privacy"
POL-000080,ORG-0008,Regulatory Reporting Policy,Operations,Data Protection Officer,2.0,2025-12-07,2026-01-08T08:38:00,2026-11-10,Approved,"Regulatory Reporting Policy for CapitalNest Capital 8 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to NBFC operations and is maintained by the Operations team. Controls must be reviewed, documented, and approved according to internal governance standards.","Cybersecurity,Operational Resilience"
POL-000081,ORG-0008,Access Control and Review Policy,Legal,Legal Reviewer,1.0,2025-06-19,2025-07-06T11:14:00,2026-05-17,Approved,"Access Control and Review Policy for CapitalNest Capital 8 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to NBFC operations and is maintained by the Legal team. Controls must be reviewed, documented, and approved according to internal governance standards.","Audit & Reporting,Customer Protection"
POL-000082,ORG-0008,Cyber Incident Response Policy,Risk,Compliance Officer,4.0,2025-07-03,2025-08-22T18:04:00,2026-05-19,Approved,"Cyber Incident Response Policy for CapitalNest Capital 8 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to NBFC operations and is maintained by the Risk team. Controls must be reviewed, documented, and approved according to internal governance standards.","Customer Protection,Cybersecurity"
POL-000083,ORG-0008,AML Transaction Monitoring Policy,Operations,ML Reviewer,4.0,2024-04-12,2024-07-06T11:38:00,2025-05-11,Approved,"AML Transaction Monitoring Policy for CapitalNest Capital 8 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to NBFC operations and is maintained by the Operations team. Controls must be reviewed, documented, and approved according to internal governance standards.","KYC/AML,Audit & Reporting"
POL-000084,ORG-0008,Outsourcing Governance Policy,Risk,Data Protection Officer,4.0,2026-01-07,2026-04-26T18:12:00,2027-03-03,Pending Review,"Outsourcing Governance Policy for CapitalNest Capital 8 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to NBFC operations and is maintained by the Risk team. Controls must be reviewed, documented, and approved according to internal governance standards.","Audit & Reporting,Customer Protection"
POL-000085,ORG-0009,Third Party Risk Management Policy,Trading Desk,Legal Reviewer,5.0,2025-06-10,2025-09-10T12:16:00,2026-10-15,Approved,"Third Party Risk Management Policy for Sangam Holdings 9 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Payments operations and is maintained by the Trading Desk team. Controls must be reviewed, documented, and approved according to internal governance standards.","Capital Adequacy,Trading Risk"
POL-000086,ORG-0009,Business Continuity and Resilience Policy,IT,Data Protection Officer,5.0,2024-11-12,2024-12-06T10:31:00,2025-08-10,Approved,"Business Continuity and Resilience Policy for Sangam Holdings 9 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Payments operations and is maintained by the IT team. Controls must be reviewed, documented, and approved according to internal governance standards.","Outsourcing,Customer Protection"
POL-000087,ORG-0009,Capital Adequacy Monitoring Policy,Legal,Risk Manager,4.0,2024-07-02,2024-10-17T14:43:00,2025-06-14,Approved,"Capital Adequacy Monitoring Policy for Sangam Holdings 9 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Payments operations and is maintained by the Legal team. Controls must be reviewed, documented, and approved according to internal governance standards.","Customer Protection,Capital Adequacy"
POL-000088,ORG-0009,Regulatory Reporting Policy,Legal,Risk Manager,5.0,2024-07-17,2024-11-01T11:13:00,2025-06-30,Approved,"Regulatory Reporting Policy for Sangam Holdings 9 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Payments operations and is maintained by the Legal team. Controls must be reviewed, documented, and approved according to internal governance standards.","Capital Adequacy,Outsourcing"
POL-000089,ORG-0009,Disclosure and Investor Communication Policy,Risk,Legal Reviewer,4.0,2025-12-02,2026-02-28T11:36:00,2027-02-17,Approved,"Disclosure and Investor Communication Policy for Sangam Holdings 9 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Payments operations and is maintained by the Risk team. Controls must be reviewed, documented, and approved according to internal governance standards.","Data Privacy,Operational Resilience"
POL-000090,ORG-0009,Customer Complaint Handling Policy,Legal,Admin,4.0,2024-06-10,2024-09-12T10:20:00,2025-07-17,Expired,"Customer Complaint Handling Policy for Sangam Holdings 9 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Payments operations and is maintained by the Legal team. Controls must be reviewed, documented, and approved according to internal governance standards.","Incident Management,Audit & Reporting"
POL-000091,ORG-0009,Cyber Incident Response Policy,Security,Legal Reviewer,4.0,2024-08-22,2024-10-31T12:23:00,2025-06-25,Approved,"Cyber Incident Response Policy for Sangam Holdings 9 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Payments operations and is maintained by the Security team. Controls must be reviewed, documented, and approved according to internal governance standards.","Liquidity Risk,Capital Adequacy"
POL-000092,ORG-0009,Trading Limit and Surveillance Policy,Trading Desk,Security Officer,3.0,2024-11-11,2025-02-01T14:48:00,2025-11-22,Approved,"Trading Limit and Surveillance Policy for Sangam Holdings 9 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Payments operations and is maintained by the Trading Desk team. Controls must be reviewed, documented, and approved according to internal governance standards.","Disclosure,KYC/AML"
POL-000093,ORG-0010,Trading Limit and Surveillance Policy,Data Governance,Operations Lead,3.0,2024-01-25,2024-03-29T14:20:00,2025-03-12,Approved,"Trading Limit and Surveillance Policy for Pragati Capital 10 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Data Governance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Operational Resilience,Liquidity Risk"
POL-000094,ORG-0010,Model Risk Governance Policy,IT,Legal Reviewer,5.0,2025-03-26,2025-04-18T09:15:00,2026-01-31,Approved,"Model Risk Governance Policy for Pragati Capital 10 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the IT team. Controls must be reviewed, documented, and approved according to internal governance standards.","Customer Protection,Audit & Reporting"
POL-000095,ORG-0010,Business Continuity and Resilience Policy,Compliance,Security Officer,4.0,2025-11-06,2026-02-12T19:31:00,2026-10-05,Approved,"Business Continuity and Resilience Policy for Pragati Capital 10 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Compliance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Audit & Reporting,Liquidity Risk"
POL-000096,ORG-0010,Cyber Incident Response Policy,Compliance,Compliance Officer,4.0,2024-04-13,2024-07-13T13:17:00,2025-05-25,Approved,"Cyber Incident Response Policy for Pragati Capital 10 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Compliance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Trading Risk,Cybersecurity"
POL-000097,ORG-0010,Customer Complaint Handling Policy,Legal,Risk Manager,4.0,2026-02-06,2026-03-29T19:26:00,2027-06-02,Approved,"Customer Complaint Handling Policy for Pragati Capital 10 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Legal team. Controls must be reviewed, documented, and approved according to internal governance standards.","Data Privacy,Audit & Reporting"
POL-000098,ORG-0010,Third Party Risk Management Policy,Audit,ML Reviewer,3.0,2024-07-23,2024-08-13T15:15:00,2025-07-11,Approved,"Third Party Risk Management Policy for Pragati Capital 10 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Audit team. Controls must be reviewed, documented, and approved according to internal governance standards.","Incident Management,Trading Risk"
POL-000099,ORG-0010,KYC and Customer Due Diligence Policy,IT,Compliance Officer,5.0,2024-10-25,2024-11-21T09:55:00,2026-02-08,Approved,"KYC and Customer Due Diligence Policy for Pragati Capital 10 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the IT team. Controls must be reviewed, documented, and approved according to internal governance standards.","Liquidity Risk,Capital Adequacy"
POL-000100,ORG-0010,Data Retention and Privacy Policy,Trading Desk,Auditor,3.0,2026-02-04,2026-03-09T13:29:00,2026-12-29,Approved,"Data Retention and Privacy Policy for Pragati Capital 10 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Trading Desk team. Controls must be reviewed, documented, and approved according to internal governance standards.","Capital Adequacy,Operational Resilience"
POL-000101,ORG-0010,AML Transaction Monitoring Policy,Security,Compliance Officer,3.0,2025-09-10,2025-10-07T09:41:00,2026-09-20,Approved,"AML Transaction Monitoring Policy for Pragati Capital 10 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Security team. Controls must be reviewed, documented, and approved according to internal governance standards.","Customer Protection,KYC/AML"
POL-000102,ORG-0010,Disclosure and Investor Communication Policy,Compliance,Operations Lead,5.0,2025-06-08,2025-06-20T17:27:00,2026-03-13,Expired,"Disclosure and Investor Communication Policy for Pragati Capital 10 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Compliance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Capital Adequacy,Outsourcing"
POL-000103,ORG-0010,Access Control and Review Policy,Security,Operations Lead,4.0,2025-08-11,2025-11-10T09:47:00,2026-05-27,Approved,"Access Control and Review Policy for Pragati Capital 10 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Security team. Controls must be reviewed, documented, and approved according to internal governance standards.","Outsourcing,Cybersecurity"
POL-000104,ORG-0011,Cyber Incident Response Policy,Trading Desk,Policy Owner,4.0,2026-01-26,2026-04-29T13:04:00,2026-12-08,Approved,"Cyber Incident Response Policy for CapitalNest Payments 11 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Trading Desk team. Controls must be reviewed, documented, and approved according to internal governance standards.","Capital Adequacy,Customer Protection"
POL-000105,ORG-0011,Business Continuity and Resilience Policy,Finance,Security Officer,5.0,2024-01-22,2024-04-14T12:00:00,2025-03-26,Pending Review,"Business Continuity and Resilience Policy for CapitalNest Payments 11 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Finance team. Controls must be reviewed, documented, and approved according to internal governance standards.","KYC/AML,Liquidity Risk"
POL-000106,ORG-0011,Outsourcing Governance Policy,Data Governance,Policy Owner,2.0,2025-03-13,2025-04-25T11:37:00,2026-05-29,Approved,"Outsourcing Governance Policy for CapitalNest Payments 11 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Data Governance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Outsourcing,Customer Protection"
POL-000107,ORG-0011,AML Transaction Monitoring Policy,Audit,Admin,2.0,2024-12-29,2025-01-27T11:49:00,2025-11-01,Approved,"AML Transaction Monitoring Policy for CapitalNest Payments 11 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Audit team. Controls must be reviewed, documented, and approved according to internal governance standards.","Data Privacy,Cybersecurity"
POL-000108,ORG-0011,Regulatory Reporting Policy,IT,Compliance Officer,1.0,2025-09-08,2025-12-26T10:34:00,2026-09-02,Expired,"Regulatory Reporting Policy for CapitalNest Payments 11 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the IT team. Controls must be reviewed, documented, and approved according to internal governance standards.","Capital Adequacy,Liquidity Risk"
POL-000109,ORG-0011,Customer Complaint Handling Policy,Operations,Legal Reviewer,2.0,2024-07-25,2024-08-24T14:17:00,2025-06-19,Expired,"Customer Complaint Handling Policy for CapitalNest Payments 11 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Operations team. Controls must be reviewed, documented, and approved according to internal governance standards.","Operational Resilience,Capital Adequacy"
POL-000110,ORG-0011,Data Retention and Privacy Policy,Legal,Risk Manager,1.0,2025-03-26,2025-07-20T14:01:00,2026-04-13,Pending Review,"Data Retention and Privacy Policy for CapitalNest Payments 11 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Legal team. Controls must be reviewed, documented, and approved according to internal governance standards.","Liquidity Risk,Operational Resilience"
POL-000111,ORG-0011,Access Control and Review Policy,Compliance,Data Protection Officer,4.0,2025-04-02,2025-06-02T11:13:00,2026-07-13,Approved,"Access Control and Review Policy for CapitalNest Payments 11 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Compliance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Cybersecurity,Liquidity Risk"
POL-000112,ORG-0011,Capital Adequacy Monitoring Policy,IT,ML Reviewer,2.0,2025-08-15,2025-09-09T10:48:00,2026-07-04,Approved,"Capital Adequacy Monitoring Policy for CapitalNest Payments 11 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the IT team. Controls must be reviewed, documented, and approved according to internal governance standards.","Customer Protection,Audit & Reporting"
POL-000113,ORG-0011,Trading Limit and Surveillance Policy,Data Governance,Auditor,3.0,2025-03-01,2025-04-06T09:51:00,2026-04-04,Approved,"Trading Limit and Surveillance Policy for CapitalNest Payments 11 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Data Governance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Trading Risk,Outsourcing"
POL-000114,ORG-0011,Liquidity Risk Monitoring Policy,Trading Desk,Compliance Officer,1.0,2024-01-17,2024-03-15T14:25:00,2025-05-20,Approved,"Liquidity Risk Monitoring Policy for CapitalNest Payments 11 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Trading Desk team. Controls must be reviewed, documented, and approved according to internal governance standards.","Capital Adequacy,Trading Risk"
POL-000115,ORG-0011,Disclosure and Investor Communication Policy,Finance,Legal Reviewer,1.0,2025-10-29,2025-12-07T19:05:00,2027-01-08,Approved,"Disclosure and Investor Communication Policy for CapitalNest Payments 11 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Finance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Disclosure,Customer Protection"
POL-000116,ORG-0012,Third Party Risk Management Policy,Compliance,ML Reviewer,5.0,2024-05-11,2024-06-09T10:44:00,2025-06-05,Approved,"Third Party Risk Management Policy for Zetta Finance 12 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Banking operations and is maintained by the Compliance team. Controls must be reviewed, documented, and approved according to internal governance standards.","KYC/AML,Audit & Reporting"
POL-000117,ORG-0012,Access Control and Review Policy,Security,Admin,2.0,2025-01-15,2025-03-19T10:26:00,2025-11-25,Approved,"Access Control and Review Policy for Zetta Finance 12 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Banking operations and is maintained by the Security team. Controls must be reviewed, documented, and approved according to internal governance standards.","Outsourcing,Data Privacy"
POL-000118,ORG-0012,Model Risk Governance Policy,Data Governance,Policy Owner,2.0,2024-04-22,2024-05-05T15:13:00,2025-04-05,Approved,"Model Risk Governance Policy for Zetta Finance 12 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Banking operations and is maintained by the Data Governance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Capital Adequacy,Trading Risk"
POL-000119,ORG-0012,Trading Limit and Surveillance Policy,Data Governance,Compliance Officer,5.0,2024-01-30,2024-03-22T08:56:00,2025-02-23,Approved,"Trading Limit and Surveillance Policy for Zetta Finance 12 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Banking operations and is maintained by the Data Governance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Data Privacy,Disclosure"
POL-000120,ORG-0012,KYC and Customer Due Diligence Policy,IT,Admin,1.0,2025-01-21,2025-05-03T16:10:00,2025-11-27,Approved,"KYC and Customer Due Diligence Policy for Zetta Finance 12 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Banking operations and is maintained by the IT team. Controls must be reviewed, documented, and approved according to internal governance standards.","Capital Adequacy,Operational Resilience"
POL-000121,ORG-0012,Cyber Incident Response Policy,Finance,Risk Manager,1.0,2024-03-08,2024-05-17T15:26:00,2025-07-10,Pending Review,"Cyber Incident Response Policy for Zetta Finance 12 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Banking operations and is maintained by the Finance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Customer Protection,Data Privacy"
POL-000122,ORG-0012,Data Retention and Privacy Policy,Compliance,Data Protection Officer,5.0,2024-11-14,2025-01-23T12:08:00,2025-11-01,Approved,"Data Retention and Privacy Policy for Zetta Finance 12 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Banking operations and is maintained by the Compliance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Capital Adequacy,Audit & Reporting"
POL-000123,ORG-0012,Regulatory Reporting Policy,Trading Desk,Admin,1.0,2025-05-19,2025-06-23T10:14:00,2026-06-24,Approved,"Regulatory Reporting Policy for Zetta Finance 12 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Banking operations and is maintained by the Trading Desk team. Controls must be reviewed, documented, and approved according to internal governance standards.","Data Privacy,Operational Resilience"
POL-000124,ORG-0013,AML Transaction Monitoring Policy,Audit,ML Reviewer,4.0,2025-06-16,2025-09-07T12:48:00,2026-10-29,Approved,"AML Transaction Monitoring Policy for BlueRiver Holdings 13 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Audit team. Controls must be reviewed, documented, and approved according to internal governance standards.","Disclosure,Capital Adequacy"
POL-000125,ORG-0013,Access Control and Review Policy,Audit,Compliance Officer,2.0,2026-01-24,2026-05-09T14:40:00,2026-11-02,Approved,"Access Control and Review Policy for BlueRiver Holdings 13 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Audit team. Controls must be reviewed, documented, and approved according to internal governance standards.","Data Privacy,KYC/AML"
POL-000126,ORG-0013,Disclosure and Investor Communication Policy,Compliance,Policy Owner,2.0,2024-08-31,2024-10-30T13:00:00,2025-10-21,Approved,"Disclosure and Investor Communication Policy for BlueRiver Holdings 13 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Compliance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Capital Adequacy,Operational Resilience"
POL-000127,ORG-0013,Liquidity Risk Monitoring Policy,Finance,Auditor,5.0,2025-04-07,2025-06-14T17:16:00,2026-05-21,Approved,"Liquidity Risk Monitoring Policy for BlueRiver Holdings 13 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Finance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Liquidity Risk,Trading Risk"
POL-000128,ORG-0013,Capital Adequacy Monitoring Policy,Data Governance,Policy Owner,5.0,2024-12-11,2025-01-22T13:51:00,2026-04-18,Approved,"Capital Adequacy Monitoring Policy for BlueRiver Holdings 13 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Data Governance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Outsourcing,Customer Protection"
POL-000129,ORG-0013,Third Party Risk Management Policy,Data Governance,Legal Reviewer,1.0,2025-06-15,2025-07-03T13:27:00,2026-08-23,Approved,"Third Party Risk Management Policy for BlueRiver Holdings 13 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Data Governance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Outsourcing,Data Privacy"
POL-000130,ORG-0013,Business Continuity and Resilience Policy,Operations,Risk Manager,1.0,2025-04-13,2025-05-08T16:45:00,2026-03-24,Approved,"Business Continuity and Resilience Policy for BlueRiver Holdings 13 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Operations team. Controls must be reviewed, documented, and approved according to internal governance standards.","Capital Adequacy,Trading Risk"
POL-000131,ORG-0013,Data Retention and Privacy Policy,Finance,Risk Manager,4.0,2025-07-20,2025-11-17T16:11:00,2026-07-26,Pending Review,"Data Retention and Privacy Policy for BlueRiver Holdings 13 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Finance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Outsourcing,Operational Resilience"
POL-000132,ORG-0013,Outsourcing Governance Policy,Operations,Auditor,2.0,2024-01-18,2024-04-30T19:22:00,2025-02-25,Approved,"Outsourcing Governance Policy for BlueRiver Holdings 13 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Operations team. Controls must be reviewed, documented, and approved according to internal governance standards.","Data Privacy,Audit & Reporting"
POL-000133,ORG-0013,Cyber Incident Response Policy,IT,ML Reviewer,5.0,2024-02-18,2024-04-14T16:14:00,2025-05-10,Expired,"Cyber Incident Response Policy for BlueRiver Holdings 13 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the IT team. Controls must be reviewed, documented, and approved according to internal governance standards.","Outsourcing,Data Privacy"
POL-000134,ORG-0013,Model Risk Governance Policy,Legal,Policy Owner,3.0,2024-04-12,2024-07-12T18:54:00,2025-06-14,Approved,"Model Risk Governance Policy for BlueRiver Holdings 13 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Legal team. Controls must be reviewed, documented, and approved according to internal governance standards.","Liquidity Risk,Data Privacy"
POL-000135,ORG-0013,Trading Limit and Surveillance Policy,Audit,Auditor,5.0,2025-03-10,2025-04-24T08:25:00,2026-02-18,Approved,"Trading Limit and Surveillance Policy for BlueRiver Holdings 13 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Audit team. Controls must be reviewed, documented, and approved according to internal governance standards.","Outsourcing,Disclosure"
POL-000136,ORG-0013,Regulatory Reporting Policy,Trading Desk,Policy Owner,4.0,2024-11-25,2025-03-07T12:00:00,2025-09-10,Approved,"Regulatory Reporting Policy for BlueRiver Holdings 13 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Trading Desk team. Controls must be reviewed, documented, and approved according to internal governance standards.","Outsourcing,Incident Management"
POL-000137,ORG-0014,Data Retention and Privacy Policy,Operations,Policy Owner,2.0,2025-02-04,2025-05-07T14:25:00,2026-04-01,Approved,"Data Retention and Privacy Policy for Zetta Securities 14 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Operations team. Controls must be reviewed, documented, and approved according to internal governance standards.","Capital Adequacy,Cybersecurity"
POL-000138,ORG-0014,Access Control and Review Policy,Security,Security Officer,2.0,2024-05-23,2024-06-17T19:47:00,2025-07-16,Expired,"Access Control and Review Policy for Zetta Securities 14 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Security team. Controls must be reviewed, documented, and approved according to internal governance standards.","Data Privacy,Operational Resilience"
POL-000139,ORG-0014,Regulatory Reporting Policy,Legal,Legal Reviewer,4.0,2025-11-19,2026-03-06T13:00:00,2027-01-26,Approved,"Regulatory Reporting Policy for Zetta Securities 14 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Legal team. Controls must be reviewed, documented, and approved according to internal governance standards.","Trading Risk,Outsourcing"
POL-000140,ORG-0014,Business Continuity and Resilience Policy,Audit,Auditor,1.0,2025-04-27,2025-07-30T15:19:00,2026-08-20,Approved,"Business Continuity and Resilience Policy for Zetta Securities 14 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Audit team. Controls must be reviewed, documented, and approved according to internal governance standards.","Liquidity Risk,Audit & Reporting"
